,dart_AdvertisingExpenses,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromSaleOfGoods,dart_DepreciationExpense,dart_DividendIncome,dart_Donations,dart_EmployeeBenefits,dart_EntertainmentExpenses,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesOnDisposalsOfInvestments,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherGains,dart_OtherLosses,dart_OtherReversalsOfProvisions,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_SalariesWages,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,dart_WritedownsOfInventories,dart_WritedownsOfPropertyPlantAndEquipment,entity_BasicEarningsLossPerShare,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,entity_OtherLosses,entity_ProfitLoss,entity_ProfitLossBeforeTax,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_TotalSellingGeneralAdministrativeExpenses,ifrs_AdministrativeExpense,ifrs_BasicEarningsLossPerShare,ifrs_BasicEarningsLossPerShareFromContinuingOperations,ifrs_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs_CostOfSales,ifrs_DepreciationAndAmortisationExpense,ifrs_DilutedEarningsLossPerShare,ifrs_DilutedEarningsLossPerShareFromContinuingOperations,ifrs_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs_DistributionCosts,ifrs_EarningsPerShareAbstract,ifrs_EmployeeBenefitsExpense,ifrs_FinanceCosts,ifrs_FinanceIncome,ifrs_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs_GrossProfit,ifrs_IncomeTaxExpenseContinuingOperations,ifrs_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,ifrs_OtherRevenue,ifrs_ProfitLoss,ifrs_ProfitLossBeforeTax,ifrs_ProfitLossFromContinuingOperations,ifrs_ProfitLossFromDiscontinuedOperations,ifrs_RawMaterialsAndConsumablesUsed,ifrs_Revenue,ifrs_RevenueFromConstructionContracts,ifrs_RevenueFromDividends,ifrs_RevenueFromRenderingOfServices,ifrs_RevenueFromRoyalties,ifrs_RevenueFromSaleOfGoods,ifrs_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
[001040],,,,,,,,,,,,,,,,,,,"2,375,690,000","959,846,000",,,,,,,"29,049,357,000",,,,,,,,,,,,,,,,,,,,,,,"1,024,000",,,,"39,808,000",,,,,,,,"2,059,362,000",,,976,,,,,974,,,,,,"2,375,707,000","1,162,635,000",,,"78,706,000",,,"27,797,387,000","27,876,093,000",,,,"39,869,302,000",,"19,893,685,000",,"17,916,255,000",,
[000120],,,,,,,,,,,,,,,,,,,,,,,,,,,"31,026,183,789",,,"1,457,804,889","20,959,172,988",,,,,,,,,"60,014,476,874",,,,,,,,,,,,,,,,,,,,,,,,,177,,,"942,614,254,408",,,,,,,,"10,746,947,674","5,548,736,570",,"91,040,660,663","3,249,256,137",,,"3,077,348,449","6,326,604,586",,,,"1,033,654,915,071",,,,,,
[037560],,,,,,,,,,,,,,,,,,,,,,,,,,,"26,876,992,766",,,,,,,,,,,,,,,,,,,,,,,,,,"-80,520,992,872",,,,,,"-88,727,062",,,,,,174,,,"185,392,127,319",,174,,,,,,,,,"107,397,985,638","5,258,712,706",,,"13,414,666,247","18,673,378,953",,,,"292,790,112,957",,,,,,
[155660],,,,,,,,,,,,,,,,,,,,,,,,,,,"2,574,241,182",,,"732,997,751","1,022,640,816",,,,,,,,,"3,457,224,248",,,,,,,,,,,,,,,,,,,,,,,,,111,,,"33,301,782,157",,,,,,,,"151,242,616","110,436,078",,"6,031,465,430","463,336,806",,,"1,780,454,773","2,243,791,579",,,,"39,333,247,587",,,,,,
[078930],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[006360],,,,,,,"42,284,030,562","1,760,423,041,912",,,,,,,,,,,,,,,,,,,"24,468,386,989",,"39,888,212,373","67,858,212,517","73,872,963,346",,,,,,,,,"86,055,722,204",,,,,,,,,,,,,,-38,,,,,,,,,,,,,,"1,842,595,284,847",,,,,,,,"45,519,904,631","44,699,311,370",,"110,524,109,193","20,252,705,404",,"35,320,511,939","-2,619,662,505","17,633,042,899",,,,"1,953,119,394,040",,,"45,455,684,430",,"1,872,343,197,671",
[028150],,,,,,,,,,,,,,,,,,,,,,,,,,,"29,520,319,737",,,"122,036,555","363,399,445",,,,,,,,,"219,229,035,029",,,,,,,,,,,,,,,,,,,,,,,,,"4,175",,,"27,850,680,994",,"4,175",,,,,,"103,614,771","4,872,912,625",,"248,749,354,766","8,159,597,515",,,"26,046,686,852","34,206,284,367",,,,"276,600,035,760",,,,,,
[024120],,,,,,,,,,,,,,,,,,,,,,,,,,,"1,779,349,912",,,"327,635,039","1,600,007",,,,,,,,,"1,240,099,775",,,,,,,,,,,,,,,,,,,,,,,,,150,,,"24,013,536,976",,,,,,,,"351,088,110","255,526,786",,"3,019,449,687","283,744,444",,,"1,726,079,176","2,009,823,620",,,,"27,032,986,663",,,,,,
[083470],,,,,,,,,,,,,,,,,,,,,,,,,,,"795,931,856",,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,"14,714,800,215",,,,,,,,,,,"3,759,097,577",0,,,,"828,526,308",,,,,,,,,,
[036030],,,,,,,,,,,,,,,,,,,,,,,,,,,"2,173,518,351",,,"592,950,675","699,422,516",,,,,,,,,"2,164,515,504",,,,,,,,,,,,,,,,,,,,,,,,,90,90,,"31,744,626,949",,,,,,,,,"869,266,254",,"4,338,033,855","-291,366,686","-3,518,204",,"3,224,161,246","2,932,794,560","3,224,161,246",,,"36,082,660,804",,,,,,
