,dart_AdvertisingExpenses,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromSaleOfGoods,dart_DepreciationExpense,dart_DividendIncome,dart_Donations,dart_EmployeeBenefits,dart_EntertainmentExpenses,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesOnDisposalsOfInvestments,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherGains,dart_OtherLosses,dart_OtherReversalsOfProvisions,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_SalariesWages,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,dart_WritedownsOfInventories,dart_WritedownsOfPropertyPlantAndEquipment,entity_BasicEarningsLossPerShare,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,entity_OtherLosses,entity_ProfitLoss,entity_ProfitLossBeforeTax,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_TotalSellingGeneralAdministrativeExpenses,ifrs_AdministrativeExpense,ifrs_BasicEarningsLossPerShare,ifrs_BasicEarningsLossPerShareFromContinuingOperations,ifrs_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs_CostOfSales,ifrs_DepreciationAndAmortisationExpense,ifrs_DilutedEarningsLossPerShare,ifrs_DilutedEarningsLossPerShareFromContinuingOperations,ifrs_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs_DistributionCosts,ifrs_EarningsPerShareAbstract,ifrs_EmployeeBenefitsExpense,ifrs_FinanceCosts,ifrs_FinanceIncome,ifrs_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs_GrossProfit,ifrs_IncomeTaxExpenseContinuingOperations,ifrs_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,ifrs_OtherRevenue,ifrs_ProfitLoss,ifrs_ProfitLossBeforeTax,ifrs_ProfitLossFromContinuingOperations,ifrs_ProfitLossFromDiscontinuedOperations,ifrs_RawMaterialsAndConsumablesUsed,ifrs_Revenue,ifrs_RevenueFromConstructionContracts,ifrs_RevenueFromDividends,ifrs_RevenueFromRenderingOfServices,ifrs_RevenueFromRoyalties,ifrs_RevenueFromSaleOfGoods,ifrs_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
[001040],,,,,,,,,,,,,,,,,,,"2,406,689,000","917,312,000",,,,,,,"9,896,249,000",,,,,,,,,,,,,,,,,,,,,,,"286,000",,,,"-32,352,000",,,,,,,,"2,059,363,000",,,237,,,,,236,,,,,,"2,407,680,000","933,357,000",,,"1,536,240,000",,,"6,853,334,000","8,389,574,000",,,,"20,411,004,000",,,,"18,351,641,000",,
[000120],,,,,,,,,,,,,,,,,,,,,,,,,,,"28,245,909,492",,,"1,498,205,361","23,046,879,558",,,,,,,,,"68,821,597,976",,,,,,,,,,,,,,,,,,,,,,,,,,,,"985,371,981,489",,,,,,,,"11,250,077,091","5,173,856,004",,"97,067,507,468","249,690,214",,,"371,323,994","621,014,208",,,,"1,082,439,488,957",,,,,,
[037560],,,,,,,,,,,,,,,,,,,,,,,,,,,"27,530,847,515",,,,,,,,,,,,,,,,,,,,,,,,,,"-80,742,974,671",,,,,,"-36,380,563",,,,,,269,,,"194,051,198,473",,269,,,,,,,,,"108,273,822,186","1,831,085,920",,,"20,809,661,727","22,640,747,647",,,,"302,325,020,659",,,,,,
[155660],,,,,,,,,,,,,,,,,,,,,,,,,,,"3,774,154,010",,,"340,031,228","92,626,453",,,,,,,,,"3,732,663,589",,,,,,,,,,,,,,,,,,,,,,,,,200,,,"34,861,773,822",,,,,,,,"106,060,270","128,703,621",,"7,506,817,599","838,939,735",,,"3,205,262,401","4,044,202,136",,,,"42,368,591,421",,,,,,
[078930],,,,,,,,,,,,,,,,,,,,,,,,,,,"16,532,000,000",,,"17,000,000","150,000,000",,,,,,,,,,,,,,,,,,,"83,000,000",,,,"11,563,000,000",,,,,,,,,,,,71,,,,,,,,,,"8,987,000,000","20,000,000",,,"702,000,000",,,"6,730,000,000","7,432,000,000",,,,,,,,,,
[006360],,,,,,,"51,462,502,065","1,947,173,652,244",,,,,,,,,,,,,,,,,,,"30,484,252,437",,"43,277,931,276","91,567,120,422","90,557,731,306",,,,,,,,,"78,692,023,405",,,,,,,,,,,,,,245,,,,,,,,,,,,,,"2,041,914,085,585",,,,,,,,"57,399,846,069","44,732,155,035",,"109,176,275,842","1,498,918,897",,"37,365,060,780","17,327,031,622","18,825,950,519",,,,"2,151,090,361,427",,,"53,904,388,377",,"2,059,820,912,270",
[028150],,,,,,,,,,,,,,,,,,,,,,,,,,,"25,349,051,245",,,"55,575,754","442,327,019",,,,,,,,,"218,521,483,628",,,,,,,,,,,,,,,,,,,,,,,,,"3,993",,,"18,519,784,126",,"3,993",,,,,,"61,636,806","5,533,486,364",,"243,870,534,873","7,792,854,074",,,"24,912,458,270","32,705,312,344",,,,"262,390,318,999",,,,,,
[024120],,,,,,,,,,,,,,,,,,,,,,,,,,,"2,657,818,918",,,"231,308,035","66,781,769",,,,,,,,,"1,692,839,177",,,,,,,,,,,,,,,,,,,,,,,,,204,,,"25,099,958,225",,,,,,,,"480,994,403","481,654,139",,"4,350,658,095","476,903,721",,,"2,346,101,199","2,823,004,920",,,,"29,450,616,320",,,,,,
[083470],,,,,,,,,,,,,,,,,,,,,,,,,,,"1,657,535,050",,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,,,,"15,461,435,621",,,,,,,,,,,"4,964,817,133","11,010,295",,,,"2,052,449,084",,,,,,,,,,
[036030],,,,,,,,,,,,,,,,,,,,,,,,,,,"1,323,479,759",,,"98,132,971","1,595,756,853",,,,,,,,,"1,901,625,576",,,,,,,,,,,,,,,,,,,,,,,,,109,109,,"34,203,723,231",,,,,,,,,"240,968,126",,"3,225,105,335","-602,331,187","-3,554,665",,"665,600,525","63,269,338","665,600,525",,,"37,428,828,566",,,,,,
