,dart_AdvertisingExpenses,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromDividends,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromSaleOfGoods,dart_DepreciationExpense,dart_DividendIncome,dart_Donations,dart_EmployeeBenefits,dart_EntertainmentExpenses,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsFromGovernmentGrants,dart_GainsOnDisposalsOfInvestments,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LossArisingFromDifferenceBetweenCarryingAmountOfFinancialLiabilityExtinguishedAndConsiderationPaid,dart_LossOnDispositionOfReceivables,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesOnDisposalsOfInvestments,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherGains,dart_OtherLosses,dart_OtherReversalsOfProvisions,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_SalariesWages,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,dart_WritedownsOfInventories,dart_WritedownsOfPropertyPlantAndEquipment,entity_BasicEarningsLossPerShare,entity_BasicEarningsLossPerShareFromContinuingOperations,entity_BasicEarningsLossPerShareFromDiscontinuedOperations,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_DilutedEarningsLossPerShareFromContinuingOperations,entity_DilutedEarningsLossPerShareFromDiscontinuedOperations,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherLosses,entity_ProfitLoss,entity_ProfitLossAttributableToAbstract,entity_ProfitLossAttributableToNoncontrollingInterests,entity_ProfitLossAttributableToOwnersOfParent,entity_ProfitLossBeforeTax,entity_ProfitLossFromContinuingOperations,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,entity_TotalSellingGeneralAdministrativeExpenses,ifrs_AdministrativeExpense,ifrs_BasicEarningsLossPerShare,ifrs_BasicEarningsLossPerShareFromContinuingOperations,ifrs_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs_CostOfSales,ifrs_DepreciationAndAmortisationExpense,ifrs_DilutedEarningsLossPerShare,ifrs_DilutedEarningsLossPerShareFromContinuingOperations,ifrs_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs_EarningsPerShareAbstract,ifrs_EmployeeBenefitsExpense,ifrs_FinanceCosts,ifrs_FinanceIncome,ifrs_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs_GrossProfit,ifrs_IncomeTaxExpenseContinuingOperations,ifrs_OtherRevenue,ifrs_ProfitLoss,ifrs_ProfitLossAttributableToAbstract,ifrs_ProfitLossAttributableToNoncontrollingInterests,ifrs_ProfitLossAttributableToOwnersOfParent,ifrs_ProfitLossBeforeTax,ifrs_ProfitLossFromContinuingOperations,ifrs_ProfitLossFromDiscontinuedOperations,ifrs_RawMaterialsAndConsumablesUsed,ifrs_Revenue,ifrs_RevenueFromConstructionContracts,ifrs_RevenueFromDividends,ifrs_RevenueFromRenderingOfServices,ifrs_RevenueFromSaleOfGoods,ifrs_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
[001040],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"307,106,055,000",,,"36,280,248,000","90,808,311,000",,,,,,,,,"1,345,342,059,000",,,,,,,,,,,,,,"1,520,000",,,,,,,,,,,,,,,"18,408,361,000",,,,"1,476",,,"3,516,744,445,000",,"1,470",,,,,"123,604,648,000","43,407,753,000",,"1,652,448,114,000","60,410,716,000","326,391,769,000","128,100,551,000",,"86,068,815,000","42,031,736,000","188,511,267,000","128,100,551,000",,,"5,169,192,559,000","55,626,239,000",,"1,863,315,017,000","2,905,451,173,000","16,130,170,000"
[000120],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44,721,720,554",,,"1,972,819,970","22,689,394,914",,,,,,,,,"89,110,464,433",,,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,230,438,299",,,,,164,288,-124,"1,132,693,662,995",,,,,,,"16,928,435,914","4,369,631,395",,"133,832,184,987","3,723,343,793",,"4,669,984,974",,"935,860,242","3,734,124,732","12,623,767,066","8,900,423,273","-4,230,438,299",,"1,266,525,847,982",,,,,
[155660],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,664,517,916",,,"377,498,240","96,713,655",,,,,,,,,"5,050,097,968",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,,,"46,982,948,432",,,,,,,"17,790,717","195,060,465",,"8,714,615,884","1,005,879,170",,,,"15,698,077","3,100,995,002","4,122,572,249",,,,"55,697,564,316",,,,,
[078930],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"702,852,000,000",,,"24,210,000,000","20,335,000,000",,,,,,,,,"313,649,000,000",,,,,,,,,,,,,,"2,606,000,000",,,,"-1,755,000,000",,,,,,,,,,,,,,,"2,593",,,"2,394,500,000,000",,,,,,,"51,890,000,000","9,500,000,000",,"1,016,501,000,000","403,314,000,000",,"259,268,000,000",,"13,735,000,000","245,533,000,000","664,337,000,000",,,,"3,411,001,000,000",,,,,
[006360],,,,,,,,"52,796,263,493","2,196,400,284,616",,,,,,,,,,,,,,,,,,,,,,,"38,164,636,537",,"104,604,035,344","92,048,699,605","85,514,028,880",,,,,,,,,"99,121,330,846",,,,,,,,,,,,,,,,,,43,,,,"1,669,949,575",,,,,,,,,,,,,,"2,353,800,583,453",,,,,,,"67,553,747,830","25,409,821,482",,"137,285,967,383","-2,283,645,350","103,823,956,740","4,722,560,354",,,,"2,438,915,004",,,,"2,491,086,550,836",,,"55,743,650,798","2,331,518,943,298","-116,465,910"
[001250],,,,,,,,"9,889,312,836",,,,,,,,,,,,,,,,,,,,,,,,"5,710,694,591",,,"18,693,353,541","20,713,695,516",,,,,,,,,,,,,,,,,,,"8,393,316,867",,,,,,,,"42,838,027",,,,,,,,,,,"7,367,343,025",,,"12,297,554,094",-83,,,"575,391,192,863",,,,,,,"1,807,317,666","171,219,704",,"21,726,966,348","381,579,527",,"-1,829,529,033",,,,"-1,447,949,506",,,,"597,118,159,211",,,"11,390,601,245",,
[028150],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,125,613,076",,,"59,454,537","459,327,082",,,,,,,,,"214,458,398,665",,,,,,,,,,,,,,"3,322",,,,,,,,,,,,,,,,0,,,,,,"31,321,318,128",,,,,,,"65,299,353","5,596,545,062",,"237,584,011,741","7,763,146,761",,"20,495,510,825",,"-229,729,515","20,725,240,340","28,258,657,586",,,,"268,905,329,869",,,,,"1,671,346"
[024120],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,910,118,225",,,"150,696,829","91,081,869",,,,,,,,,"2,259,858,594",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,"26,493,909,573",,,,,,,"680,677,814","456,489,858",,"4,169,976,819","513,732,109",,"1,231,813,120",,,"1,231,813,120","1,745,545,229",,,,"30,663,886,392",,,,,
[083470],,,,,,,,,,,,,,,,,,,,,,,"46,094,880",,,,,,,,,"2,032,061,993",,,,,,,,,,,,,"2,840,785,438",,,,,,,,,,,,,,,,"789,295,609",,156,,,,,,,,,,,,,,,,,,"27,296,777,141",,,,,,,,"1,370,761,299",,"6,272,634,676","-5,298,405",,,,,,"3,020,408,872",,,,,,,,,
[003550],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"341,926,000,000",,,,,,,,,,,,,"113,435,000,000",,,,,,,,,,,,,,"1,707,000,000",,,,,"10,225,000,000",,,,,,,,,,"258,518,000,000",,,,,,,"1,959,719,000,000",,,,,,,,,,"455,361,000,000","28,063,000,000","107,907,000,000","298,118,000,000",,"-1,789,000,000","299,907,000,000","326,181,000,000","298,118,000,000",,,"2,415,080,000,000","325,719,000,000",,"505,412,000,000","1,217,524,000,000",
