,dart_AdvertisingExpenses,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromDividends,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromSaleOfGoods,dart_DepreciationExpense,dart_DividendIncome,dart_Donations,dart_EmployeeBenefits,dart_EntertainmentExpenses,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsFromGovernmentGrants,dart_GainsOnDisposalsOfInvestments,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LossArisingFromDifferenceBetweenCarryingAmountOfFinancialLiabilityExtinguishedAndConsiderationPaid,dart_LossOnDispositionOfReceivables,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesOnDisposalsOfInvestments,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherGains,dart_OtherLosses,dart_OtherReversalsOfProvisions,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_SalariesWages,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,dart_WritedownsOfInventories,dart_WritedownsOfPropertyPlantAndEquipment,entity_BasicEarningsLossPerShare,entity_BasicEarningsLossPerShareFromContinuingOperations,entity_BasicEarningsLossPerShareFromDiscontinuedOperations,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_DilutedEarningsLossPerShareFromContinuingOperations,entity_DilutedEarningsLossPerShareFromDiscontinuedOperations,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherLosses,entity_ProfitLoss,entity_ProfitLossAttributableToAbstract,entity_ProfitLossAttributableToNoncontrollingInterests,entity_ProfitLossAttributableToOwnersOfParent,entity_ProfitLossBeforeTax,entity_ProfitLossFromContinuingOperations,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,entity_TotalSellingGeneralAdministrativeExpenses,ifrs_AdministrativeExpense,ifrs_BasicEarningsLossPerShare,ifrs_BasicEarningsLossPerShareFromContinuingOperations,ifrs_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs_CostOfSales,ifrs_DepreciationAndAmortisationExpense,ifrs_DilutedEarningsLossPerShare,ifrs_DilutedEarningsLossPerShareFromContinuingOperations,ifrs_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs_EarningsPerShareAbstract,ifrs_EmployeeBenefitsExpense,ifrs_FinanceCosts,ifrs_FinanceIncome,ifrs_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs_GrossProfit,ifrs_IncomeTaxExpenseContinuingOperations,ifrs_OtherRevenue,ifrs_ProfitLoss,ifrs_ProfitLossAttributableToAbstract,ifrs_ProfitLossAttributableToNoncontrollingInterests,ifrs_ProfitLossAttributableToOwnersOfParent,ifrs_ProfitLossBeforeTax,ifrs_ProfitLossFromContinuingOperations,ifrs_ProfitLossFromDiscontinuedOperations,ifrs_RawMaterialsAndConsumablesUsed,ifrs_Revenue,ifrs_RevenueFromConstructionContracts,ifrs_RevenueFromDividends,ifrs_RevenueFromRenderingOfServices,ifrs_RevenueFromSaleOfGoods,ifrs_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
[001040],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"352,286,042,000",,,"38,778,091,000","61,017,857,000",,,,,,,,,"1,453,495,608,000",,,,,,,,,,,,,,"2,714,000",,,,,,,,,,,,,,,"19,492,819,000",,,,"2,673",,,"3,881,745,487,000",,"2,664",,,,,"163,523,756,000","102,377,358,000",,"1,805,781,650,000","70,834,119,000","333,668,116,000","216,000,333,000",,"139,918,232,000","76,082,101,000","286,834,452,000","216,000,333,000",,,"5,687,527,137,000","105,903,728,000",,"2,013,099,741,000","3,215,362,733,000","17,934,574,000"
[000120],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53,226,371,254",,,"3,658,873,879","20,921,947,281",,,,,,,,,"105,504,709,899",,,,,,,,,,,,,,,,,,"7,298,275,077",,,,,,,,,,,,,,,"1,343","1,343",,"1,286,484,725,450",,,,,,,"20,632,620,042","5,891,678,901",,"158,731,081,153","2,200,019,277",,"26,320,612,511",,"2,645,531,890","23,675,080,621","28,520,631,788","26,320,612,511",,,"1,445,215,806,603",,,,,
[155660],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,291,519,329",,,"634,461,866","559,100,736",,,,,,,,,"4,800,550,442",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,"40,736,966,253",,,,,,,"160,514,108","188,011,109",,"8,092,069,771","795,251,554",,,,"-9,333,617","2,608,459,523","3,394,377,460",,,,"48,829,036,024",,,,,
[078930],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[006360],,,,,,,,"82,411,903,717","2,367,047,694,930",,,,,,,,,,,,,,,,,,,,,,,"29,120,320,177",,"61,960,713,351","136,947,593,562","156,012,143,244",,,,,,,,,"98,580,163,012",,,,,,,,,,,,,,,,,,91,,,,"1,064,241,561",,,,,,,,,,,,,,"2,511,420,311,998",,,,,,,"82,625,112,487","79,225,334,358",,"127,700,483,189","460,816,217","53,000,161,570","7,810,812,091",,,,"8,271,628,308",,,,"2,639,120,795,187",,,"105,366,927,223","2,480,753,706,394","1,615,635,942"
[001250],,,,,,,,"15,901,737,383",,,,,,,,,,,,,,,,,,,,,,,,"5,731,646,053",,,"42,375,272,540","38,814,702,096",,,,,,,,,,,,,,,,,,,"12,123,682,049",,,,,,,,"32,532,059",,,,,,,,,,,"5,039,852,390",,,"12,793,870,771",253,,,"545,303,962,965",,,,,,,"3,425,919,154","806,336,247",,"22,203,137,185","402,533,954",,"5,721,698,948",,,,"6,124,232,902",,,,"567,507,100,150",,,"16,321,209,553",,
[028150],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,628,619,422",,,"155,013,435","1,501,294,184",,,,,,,,,"210,872,396,356",,,,,,,,,,,,,,"5,647",,,,,,,,,,,,,,,,"107,815,337",,,,,,"39,311,361,118",,,,,,,"188,532,124","10,473,927,964",,"242,501,015,778","7,741,814,898",,"35,054,102,563",,"54,205,153","34,999,897,410","42,795,917,461",,,,"281,812,376,896",,,,,"2,228,182,948"
[024120],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,089,055,977",,,"604,663,801","17,183,793",,,,,,,,,"2,244,755,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,,,"34,146,006,362",,,,,,,"1,524,429,375","1,092,354,650",,"5,333,811,967","695,554,921",,"2,548,906,339",,,"2,548,906,339","3,244,461,260",,,,"39,479,818,329",,,,,
[083470],,,,,,,,,,,,,,,,,,,,,,,"54,050,449",,,,,,,,,"83,353,700",,,,,,,,,,,,,"2,959,684,227",,,,,,,,,,,,,,,,"917,032,663",,-44,,,,,,,,,,,,,,,,,,"25,548,131,642",,,,,,,,"1,840,374,948",,"4,635,452,822","4,761,541",,,,,,"-852,262,584",,,,,,,,,
[003550],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"318,223,000,000",,,,,,,,,,,,,"111,583,000,000",,,,,,,,,,,,,,"1,706,000,000",,,,,"18,681,000,000",,,,,,,,,,"258,297,000,000",,,,,,,"1,718,948,000,000",,,,,,,,,,"429,806,000,000","24,662,000,000","90,482,000,000","292,245,000,000",,"-1,911,000,000","294,156,000,000","310,967,000,000","286,305,000,000","5,940,000,000",,"2,148,754,000,000","312,146,000,000",,"492,843,000,000","994,986,000,000",
