,dart_AdvertisingExpenses,dart_AllowanceForOtherDoubtfulAccounts,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_ConferenceExpenses,dart_CostOfSalesFromConstruction,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromRenderingOfServicesCommission,dart_CostOfSalesFromRenderingOfServicesProcession,dart_CostOfSalesFromRenderingOfServicesRental,dart_CostOfSalesFromRenderingOfServicesTransportation,dart_CostOfSalesFromSaleOfGoods,dart_CostOfSalesFromSaleOfGoodsMerchandises,dart_CostOfSalesFromSaleOfGoodsProduct,dart_CostOfSalesFromSaleOfGoodsRealEstate,dart_CostOfSalesFromServices,dart_CumulativeLossPreviouslyRecognisedInOtherComprehensiveIncomeArisingFromReclassificationOfFinancialAssetsOutOfFairValueThroughOtherComprehensiveIncomeIntoFairValueThroughProfitOrLossMeasurementCategory,dart_DepreciationExpense,dart_DividendIncome,dart_DividendIncomeNonOperating,dart_Donations,dart_EmployeeBenefits,dart_EngagementExpenses,dart_EntertainmentExpenses,dart_ExclusiveLineUseExpense,dart_ExpensesOfProvisionsForRestoration,dart_ExportOverallExpense,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsFromCommission,dart_GainsFromFinancialGuaranteeFinancialIncome,dart_GainsOnDisposalsOfAvailableForSaleFinancialAssets,dart_GainsOnDisposalsOfAvailableForSaleFinancialAssetsFinancialIncome,dart_GainsOnDisposalsOfFairValueFinancialAssetFinancialIncome,dart_GainsOnDisposalsOfIntangibleAssets,dart_GainsOnDisposalsOfInventory,dart_GainsOnDisposalsOfInvestmentProperty,dart_GainsOnDisposalsOfNoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_GainsOnForeignCurrencyTransactionsFiancialIncome,dart_GainsOnForeignExchangeTranslationsFinancialIncome,dart_GainsOnTransactionOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfFairValueFinancialAsset,dart_GainsOnValuationOfFairValueFinancialAssetFinancialIncome,dart_GainsOnValuationOfLongTermFinancialInstruments,dart_ImpairmentLossRecoveryOfAccountsReceivables,dart_ImpairmentLossesOnAssociates,dart_ImpairmentLossesOnAvailableForSaleFinancialAssetsFinancialExpense,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LeaseholdAdministrationExpense,dart_LentIncome,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesFromFinancialGuaranteeFinanceExpense,dart_LossesOnDisposalOfIntangibleAssets,dart_LossesOnDisposalsOfFairValueFinancialAssetFinancialExpense,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_LossesOnForeignCurrencyTransactionsFiancialExpense,dart_LossesOnForeignExchangeTranslationsFinancialExpense,dart_LossesOnSaleOfInvestmentsInSubsidiaries,dart_LossesOnTransactionOfDerivativeFinancialInstrumentsFinancialExpense,dart_LossesOnValuationOfDerivativeFinancialInstrumentsFinancialExpense,dart_LossesOnValuationOfFairValueFinancialAsset,dart_LossesOnValuationOfFairValueFinancialAssetFinancialExpense,dart_MembershipExpenses,dart_MiscellaneousExpenses,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_NetworkContactSettleExpense,dart_OperatingExpenses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherFinancialExpenses,dart_OtherFinancialIncome,dart_OtherGains,dart_OtherLosses,dart_PackingExpenses,dart_PersonalExpense,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_RevenueFromConstruction,dart_RevenueFromRenderingOfServicesCommission,dart_RevenueFromRenderingOfServicesProcession,dart_RevenueFromRenderingOfServicesRental,dart_RevenueFromRenderingOfServicesTransportation,dart_RevenueFromSaleOfGoodsMerchandise,dart_RevenueFromSaleOfGoodsProduct,dart_RevenueFromSaleOfGoodsRealEstate,dart_RevenueFromServices,dart_SalariesWages,dart_SalesPromotionExpenses,dart_SamplesExpenses,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,dart_WarrantyExpenses,entity_BasicEarningsLossPerShare,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingExpenses,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherLosses,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_RevenueFromRenderingOfServices,entity_TotalSellingGeneralAdministrativeExpenses,ifrs-full_BasicEarningsLossPerShare,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_CostOfSales,ifrs-full_DilutedEarningsLossPerShare,ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_EarningsPerShareAbstract,ifrs-full_EmployeeBenefitsExpense,ifrs-full_FinanceCosts,ifrs-full_FinanceIncome,ifrs-full_GrossProfit,ifrs-full_IncomeTaxExpenseContinuingOperations,ifrs-full_LossesArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,ifrs-full_OtherRevenue,ifrs-full_ProfitLoss,ifrs-full_ProfitLossBeforeTax,ifrs-full_ProfitLossFromContinuingOperations,ifrs-full_ProfitLossFromDiscontinuedOperations,ifrs-full_Revenue,ifrs-full_RevenueFromConstructionContracts,ifrs-full_RevenueFromDividends,ifrs-full_RevenueFromRenderingOfServices,ifrs-full_RevenueFromRoyalties,ifrs-full_RevenueFromSaleOfGoods,ifrs_BasicEarningsLossPerShare,ifrs_CostOfSales,ifrs_EarningsPerShareAbstract,ifrs_FinanceCosts,ifrs_FinanceIncome,ifrs_GrossProfit,ifrs_IncomeTaxExpenseContinuingOperations,ifrs_ProfitLoss,ifrs_ProfitLossBeforeTax,ifrs_Revenue
[001040],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,278,726,000",,,,,"31,636,000",,,,,,,,,,,,,,,,,,,,,,"14,939,469,000",,,,,,,,,,,,,"26,218,195,000",,,,,,,,,139,,,,139,,,,,"1,073,256,000","-4,998,486,000",,"1,271,004,000",,,,"3,967,616,000","5,238,620,000",,,,,,,,,,,,,,,,,,
[000120],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,006,016,030",,,,,"4,346,439,311","22,139,969,234",,,,,,,,,,,,,,,,,,,,,"91,463,452,757",,,,,,,,,,,,,,,,,,,,,,-642,,,"1,469,062,605,053",,,,,,"16,216,643,644","1,639,306,617","112,469,468,787","-163,361,596",,,,"-11,201,489,324","-11,364,850,920",,,"1,581,532,073,840",,,,,,,,,,,,,,,
[037560],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,466,243,020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61,064,703",,,,,,,,,169,,,"272,597,141,568",,,,,,"4,670,897,678","757,677,968",,"3,866,133,449",,,,"13,060,395,730","16,926,529,179",,,"296,028,200,025",,,,,,,,,,,,,,,
[000990],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,600,641,522",,,,,"1,185,474,884","1,642,452,773",,,,,,,,,,,,,,,,,,,,,"24,495,051,488",,,,,,,,,,,,,"896,625,000",,,,,,,,,696,,,"118,644,299,141",696,,,,,"5,803,876,029","1,686,875,479","65,095,693,010","4,919,922,875",,,,"30,210,115,208","35,130,038,083","30,210,115,208",0,"183,739,992,151",,,,,,,,,,,,,,,
[155660],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,208,960,369",,,,,"164,425,618","392,519,050",,,,,,,,,,,,,,,,,,,,,"2,738,222,978",,,,,,,,,,,,,,,,,,,,,,112,,,"37,998,434,659",,,,,,"135,647,033","416,751,693","4,947,183,347","476,947,019",,,,"1,785,024,578","2,261,971,597",,,"42,945,618,006",,,,,,,,,,,,,,,
[078930],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,418,000,000",,,,,"1,180,000,000","44,000,000",,,,,,,,,,,,,,,,,,,,,"8,208,000,000",,,,,,,,,,,,,,,,,,,,,,173,,,,185,,,,,"6,059,000,000","75,000,000","34,626,000,000","5,188,000,000",,,,"16,382,000,000","21,570,000,000",,,"34,626,000,000",,,,,,,,,,,,,,,
[006360],,,,,,,,"2,336,735,853,294",,,,,,,,,,"96,703,195,565",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"202,947,081,443",,"42,274,538,402",,,"1,253,457,399","22,764,661,255",,,,,,,"2,638,034,889,390",,,,,,,"117,557,810,541",,,,,,,"107,239,652,746",,,,,,,,,,,,,,,,,,,,,,"1,832",,,"2,475,713,587,261","1,732",,,,,"51,388,095,019","29,491,613,979","310,186,734,189","17,633,643,295",,,"30,307,621,519","141,905,753,252","159,539,396,547",,,"2,785,900,321,450",,,,,,,,,,,,,,,
[001250],,,,,,,,,,,"11,633,024,270",,,,,"904,906,446,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,392,232,851",,,,,"8,220,073,722","6,900,697,147",,,,,,,,"14,888,775,334",,,,"927,586,063,140",,,,,,,,,"15,543,135,233",,,,,,,,,,,,,,,,,,,,,,64,,,"916,539,470,390",,,,,,"4,754,429,152","404,564,275","25,935,368,084","3,046,646,829",,"945,998,876",,"5,261,096,596","8,307,743,425",,,"942,474,838,474",,,,,,,,,,,,,,,
[028150],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,595,324,831",,,,,"99,175,146","890,674,022",,,,,,,,,,,,,,,,,,,,,"165,279,677,960",,,,,,,,,,,,,0,,,,,,,,,"4,120",,,"53,192,067,725","4,120",,,,,"214,784,432","15,031,299,412","195,875,002,791","10,906,524,954",,,,"24,866,106,365","35,772,631,319",,,"249,067,070,516",,,,,,,,,,,,,,,
[012630],,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,066,578,693",,,,,,,,,,,,,,,,,"1,963,306,811",,,,,"3,448,150,008",,,,0,"23,991,832,188","33,609,003,959",,,,,,,,,,,,,,,,,,,,,"1,963,306,811",,,,,,,,,,,,,,,,,,,,,,,-61,0,"5,635,814,239",,,,,,,"2,066,578,693","5,411,456,819","-446,462,750",,,,"-3,655,980,320","-4,102,443,070","-3,655,980,320",,"11,047,271,058",,,,,,,,,,,,,,,
[089470],,,,,,,,,,,,,,,,"5,520,991,141","168,213,843,676",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,051,912,793",,,,,"1,392,087,010","3,810,323",,,,,,,,,,,,"5,810,443,547","178,306,139,570",,,,,,,,"8,310,923,101",,,,,,,,,,,,,"1,301,727,913",,,,,,,,,55,,,"173,734,834,817",55,,,,,"244,943,676","129,418,328","10,381,748,300","371,142,333",,,,"1,694,778,846","2,065,921,179",,,"184,116,583,117",,,,,,,,,,,,,,,
