,dart_AdvertisingExpenses,dart_AllowanceForOtherDoubtfulAccounts,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_ConferenceExpenses,dart_CostOfSalesFromConstruction,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromRenderingOfServicesCommission,dart_CostOfSalesFromRenderingOfServicesProcession,dart_CostOfSalesFromRenderingOfServicesRental,dart_CostOfSalesFromRenderingOfServicesTransportation,dart_CostOfSalesFromSaleOfGoods,dart_CostOfSalesFromSaleOfGoodsMerchandises,dart_CostOfSalesFromSaleOfGoodsProduct,dart_CostOfSalesFromSaleOfGoodsRealEstate,dart_CostOfSalesFromServices,dart_DepreciationExpense,dart_DividendIncome,dart_DividendIncomeNonOperating,dart_Donations,dart_EmployeeBenefits,dart_EngagementExpenses,dart_EntertainmentExpenses,dart_ExclusiveLineUseExpense,dart_ExportOverallExpense,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsArisingFromDifferenceBetweenPreviousAmortisedCostAndFairValueOfFinancialAssetsReclassifiedOutOfAmortisedCostIntoFairValueThroughProfitOrLossMeasurementCategory,dart_GainsForeignCurrencyTransactions,dart_GainsFromCommission,dart_GainsFromFinancialGuaranteeFinancialIncome,dart_GainsOnDisposalsOfFairValueFinancialAssetFinancialIncome,dart_GainsOnDisposalsOfIntangibleAssets,dart_GainsOnDisposalsOfInventory,dart_GainsOnDisposalsOfInvestmentProperty,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_GainsOnForeignCurrencyTransactionsFiancialIncome,dart_GainsOnForeignExchangeTranslationsFinancialIncome,dart_GainsOnTransactionOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfFairValueFinancialAssetFinancialIncome,dart_GainsOnValuationOfLongTermFinancialInstruments,dart_ImpairmentLossDeterminedInAccordanceWithIFRS9,dart_ImpairmentLossRecoveryOfAccountsReceivables,dart_ImpairmentLossesOnAssociates,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LeaseholdAdministrationExpense,dart_LentIncome,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,dart_LossesOnDisposalOfFairValueFinancialAsset,dart_LossesOnDisposalOfIntangibleAssets,dart_LossesOnDisposalsOfFairValueFinancialAssetFinancialExpense,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_LossesOnForeignCurrencyTransactionsFiancialExpense,dart_LossesOnForeignExchangeTranslationsFinancialExpense,dart_LossesOnSaleOfInvestmentsInSubsidiaries,dart_LossesOnTransactionOfDerivativeFinancialInstrumentsFinancialExpense,dart_LossesOnValuationOfDerivativeFinancialInstrumentsFinancialExpense,dart_LossesOnValuationOfFairValueFinancialAssetFinancialExpense,dart_MembershipExpenses,dart_MiscellaneousExpenses,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_NetworkContactSettleExpense,dart_OperatingExpenses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherFinancialExpenses,dart_OtherFinancialIncome,dart_OtherGains,dart_OtherLosses,dart_PackingExpenses,dart_PersonalExpense,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_RevenueFromConstruction,dart_RevenueFromRenderingOfServicesCommission,dart_RevenueFromRenderingOfServicesProcession,dart_RevenueFromRenderingOfServicesRental,dart_RevenueFromRenderingOfServicesTransportation,dart_RevenueFromSaleOfGoodsMerchandise,dart_RevenueFromSaleOfGoodsProduct,dart_RevenueFromSaleOfGoodsRealEstate,dart_RevenueFromServices,dart_ReversalsOfAllowanceForOtherDoubtfulAccounts,dart_SalariesWages,dart_SamplesExpenses,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,dart_WarrantyExpenses,entity_BasicEarningsLossPerShare,entity_BasicEarningsLossPerShareFromContinuingOperations,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_DilutedEarningsLossPerShareFromContinuingOperations,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingExpenses,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherLosses,entity_ProfitLoss,entity_Revenue,entity_RevenueFromRenderingOfServices,entity_TotalSellingGeneralAdministrativeExpenses,ifrs-full_BasicEarningsLossPerShare,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_CostOfSales,ifrs-full_DilutedEarningsLossPerShare,ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_EarningsPerShareAbstract,ifrs-full_EmployeeBenefitsExpense,ifrs-full_FinanceCosts,ifrs-full_FinanceIncome,ifrs-full_GrossProfit,ifrs-full_IncomeTaxExpenseContinuingOperations,ifrs-full_LossesArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,ifrs-full_OtherRevenue,ifrs-full_ProfitLoss,ifrs-full_ProfitLossBeforeTax,ifrs-full_ProfitLossFromContinuingOperations,ifrs-full_ProfitLossFromDiscontinuedOperations,ifrs-full_Revenue,ifrs-full_RevenueFromConstructionContracts,ifrs-full_RevenueFromDividends,ifrs-full_RevenueFromRenderingOfServices,ifrs-full_RevenueFromRoyalties,ifrs-full_RevenueFromSaleOfGoods
[001040],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46,099,190,000",,,,,"-668,824,000",,,,,,,,,,,,,,,,,,,,,,"22,469,269,000",,,,,,,,,,,,,,,"68,568,459,000",,,,,,,,,"1,535",,,,"1,535",,,,,"2,326,271,000","435,116,000",,"281,254,000",,,,"43,257,957,000","43,539,211,000",,,,,,,,
[000120],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,326,246,926",,,,,"1,381,782,236","23,093,269,928",,,,,,,,,,,,,,,,,,,,,"88,871,074,578",,,,,,,,,,,,,,,,,,,,,,,,"-1,329",,,"1,459,774,264,388",,,,,,"26,318,643,398","4,890,492,843","105,197,321,504","-4,943,285,015",,,,"-21,870,106,306","-26,813,391,321",,,"1,564,971,585,892",,,,,
[000990],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,337,066,887",,,,,"2,211,183,971","1,141,982,042",,,,,,,,,,,,,,,,,,,,,"25,445,658,198",,,,,,,,,,,,,,,,,,,,,,,,408,,,"111,796,969,758",408,,,,,"4,575,688,927","2,438,764,111","47,782,725,085","3,537,439,533",,,,"17,731,904,467","21,269,344,000","17,731,904,467",0,"159,579,694,843",,,,,
[155660],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,755,637,945",,,,,"1,168,786,750","285,667,432",,,,,,,,,,,,,,,,,,,,,"2,886,764,910",,,,,,,,,,,,,,,,,,,,,,,,191,,,"36,809,454,922",,,,,,"161,251,960","376,385,001","5,642,402,855","805,173,941",,,,"3,048,716,363","3,853,890,304",,,"42,451,857,777",,,,,
[078930],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"241,206,000,000",,,,,"3,000,000",,,,,,,,,,,,,,,,,,,,,,"9,337,000,000",,,,,,,,,,,,,,,,,,,,,,,,"2,437",,,,"2,487",,,,,"4,960,000,000","152,000,000","250,543,000,000","5,560,000,000",,,,"230,841,000,000","236,401,000,000",,,"250,543,000,000",,,,,
[006360],,,,,,,,"1,887,511,630,400",,,,,,,,,,"102,324,300,281",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"171,077,705,943",,"35,013,651,573",,,"62,930,001,502","96,041,388,448",,,,,,,"2,175,773,864,733",,,,,,,"141,619,865,060",,,,,,,"149,725,401,070",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,024,849,582,254",,,,,,"46,980,795,883","66,895,724,184","320,803,107,013","38,330,980,893",,,"28,258,959,474","119,550,266,405","157,881,247,298",,,"2,345,652,689,267",,,,,
[001250],,,,,,,,,,,"7,268,382,438",,,,,"860,392,814,318",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,034,549,994",,,,,"18,800,996,640","18,985,110,495",,,,,,,,"10,745,147,150",,,,"883,303,571,093",,,,,,,,,"14,352,971,493",,,,,,,,,,,,,,,,,,,,,,,,72,,,"867,661,196,756",,,,,,"4,638,537,743","669,445,273","26,387,521,487","1,969,625,838",,0,,"5,911,717,831","7,881,343,669",,,"894,048,718,243",,,,,
[028150],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,340,769,678",,,,,"107,493,007","126,018,755",,,,,,,,,,,,,,,,,,,,,"165,938,917,913",,,,,,,,,,,,,,,,,,,,,,,,"6,005",,,"71,040,623,961","6,005",,,,,"4,562,741,252","14,730,736,192","204,279,687,591","12,400,084,124",,,,"36,090,154,746","48,490,238,870",,,"275,320,311,552",,,,,
[012630],,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"934,543,092",,,,,,,,,,,,,,,,,"1,955,627,288",,,,,"16,011,820,110",,,0,0,"12,555,437,397","3,487,885",,,,,,,,,,,,,,,,,,,,,"1,955,627,288",,,,,,,,,,,,,,,,,,,,,,,,,388,,"3,053,486,401",,,,,,0,"934,543,092","17,967,447,398","7,202,367,374",,,,"22,295,945,340","29,498,312,714",,,"21,020,933,799",,,,,
[089470],,,,,,,,,,,,,,,,"7,011,411,006","163,028,758,921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,103,559,988",,,,,"2,558,425,076","244,097,227",,,,,,,,,,,,"6,509,041,311","178,539,422,795",,,,,,,,"8,869,589,150",,,,,,,,,,,,,,,"1,274,348,985",,,,,,,,,186,,,"170,040,169,927",186,,,,,"1,051,782,110","1,412,047,072","15,008,294,179","1,780,266,564",,,,"5,751,300,850","7,531,567,414",,,"185,048,464,106",,,,,
[294870],,,,,,,,"574,040,046,203","699,184,875,012",,,,,,,,,"125,144,828,809",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,479,021,651",,"34,754,594,746",,,"5,650,968,693","2,359,489,620",,,,,,,"665,495,841,132",,,,,,,"182,529,495,799",,,,,,,"45,546,906,399",,,,,,,,,,,,,,,"4,524,887,588",,,,,,,,,,"1,929",,"733,939,469,758",,"1,929",,,,"86,890,606","465,742,894","147,257,680,634","-26,861,040,617",,,"33,171,813,461","84,756,760,519","111,617,801,136",,,"881,197,150,392","848,025,336,931",,,,
