,dart_AdvertisingExpenses,dart_AllowanceForOtherDoubtfulAccounts,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_ConferenceExpenses,dart_CostOfSalesFromConstruction,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromRenderingOfServicesCommission,dart_CostOfSalesFromRenderingOfServicesProcession,dart_CostOfSalesFromRenderingOfServicesRental,dart_CostOfSalesFromRenderingOfServicesTransportation,dart_CostOfSalesFromSaleOfGoods,dart_CostOfSalesFromSaleOfGoodsMerchandises,dart_CostOfSalesFromSaleOfGoodsProduct,dart_CostOfSalesFromSaleOfGoodsRealEstate,dart_CostOfSalesFromServices,dart_DepreciationExpense,dart_DividendIncome,dart_DividendIncomeNonOperating,dart_Donations,dart_EmployeeBenefits,dart_EngagementExpenses,dart_EntertainmentExpenses,dart_ExclusiveLineUseExpense,dart_ExportOverallExpense,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsFromCommission,dart_GainsFromFinancialGuaranteeFinancialIncome,dart_GainsOnDisposalsOfFairValueFinancialAssetFinancialIncome,dart_GainsOnDisposalsOfIntangibleAssets,dart_GainsOnDisposalsOfInventory,dart_GainsOnDisposalsOfInvestmentProperty,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_GainsOnForeignCurrencyTransactionsFiancialIncome,dart_GainsOnForeignExchangeTranslationsFinancialIncome,dart_GainsOnTransactionOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfFairValueFinancialAssetFinancialIncome,dart_GainsOnValuationOfLongTermFinancialInstruments,dart_ImpairmentLossDeterminedInAccordanceWithIFRS9,dart_ImpairmentLossRecoveryOfAccountsReceivables,dart_ImpairmentLossesOnAssociates,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LeaseholdAdministrationExpense,dart_LentIncome,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesFromFinancialGuaranteeFinanceExpense,dart_LossesOnDisposalOfIntangibleAssets,dart_LossesOnDisposalsOfFairValueFinancialAssetFinancialExpense,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_LossesOnForeignCurrencyTransactionsFiancialExpense,dart_LossesOnForeignExchangeTranslationsFinancialExpense,dart_LossesOnSaleOfInvestmentsInSubsidiaries,dart_LossesOnTransactionOfDerivativeFinancialInstrumentsFinancialExpense,dart_LossesOnValuationOfDerivativeFinancialInstrumentsFinancialExpense,dart_LossesOnValuationOfFairValueFinancialAssetFinancialExpense,dart_MembershipExpenses,dart_MiscellaneousExpenses,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_NetworkContactSettleExpense,dart_OperatingExpenses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherFinancialExpenses,dart_OtherFinancialIncome,dart_OtherGains,dart_OtherLosses,dart_PackingExpenses,dart_PersonalExpense,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_RevenueFromConstruction,dart_RevenueFromRenderingOfServicesCommission,dart_RevenueFromRenderingOfServicesProcession,dart_RevenueFromRenderingOfServicesRental,dart_RevenueFromRenderingOfServicesTransportation,dart_RevenueFromSaleOfGoodsMerchandise,dart_RevenueFromSaleOfGoodsProduct,dart_RevenueFromSaleOfGoodsRealEstate,dart_RevenueFromServices,dart_ReversalsOfAllowanceForOtherDoubtfulAccounts,dart_SalariesWages,dart_SamplesExpenses,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,entity_BasicEarningsLossPerShare,entity_BasicEarningsLossPerShareFromContinuingOperations,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_DilutedEarningsLossPerShareFromContinuingOperations,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingExpenses,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherLosses,entity_ProfitLoss,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_RevenueFromRenderingOfServices,entity_TotalSellingGeneralAdministrativeExpenses,ifrs-full_BasicEarningsLossPerShare,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_CostOfSales,ifrs-full_DilutedEarningsLossPerShare,ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_EarningsPerShareAbstract,ifrs-full_EmployeeBenefitsExpense,ifrs-full_FinanceCosts,ifrs-full_FinanceIncome,ifrs-full_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs-full_GrossProfit,ifrs-full_IncomeTaxExpenseContinuingOperations,ifrs-full_LossesArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,ifrs-full_OtherRevenue,ifrs-full_ProfitLoss,ifrs-full_ProfitLossBeforeTax,ifrs-full_ProfitLossFromContinuingOperations,ifrs-full_ProfitLossFromDiscontinuedOperations,ifrs-full_Revenue,ifrs-full_RevenueFromConstructionContracts,ifrs-full_RevenueFromDividends,ifrs-full_RevenueFromRenderingOfServices,ifrs-full_RevenueFromRoyalties,ifrs-full_RevenueFromSaleOfGoods
[001040],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,646,033,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"15,138,381,000",,,,,,,,,,,,,,"26,784,414,000",,,,,,,,,,383,,,,383,,,,,"-4,043,275,000","370,545,000","47,767,000",,"3,682,130,000",,,,"12,425,490,000","16,107,620,000",,,,,,,,
[000120],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,306,064,006",,,,,"1,822,250,028","32,813,292,062",,,,,,,,,,,,,,,,,,,,,"89,927,724,685",,,,,,,,,,,,,,,,,,,,,,,,-914,,,"1,480,788,289,318",,,,,,"26,439,125,678","7,766,861,132",,"148,233,788,691","17,925,381,533",,,,"-9,282,624,107","8,642,757,426",,,"1,629,022,078,009",,,,,
[000990],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61,737,144,532",,,,,"2,663,812,771","1,155,162,686",,,,,,,,,,,,,,,,,,,,,"25,943,430,526",,,,,,,,,,,,,,,,,,,,,,,,"1,065",,,"134,639,417,236","1,065",,,,,"5,132,941,329","2,916,445,892",,"87,680,575,058","14,771,704,638",,,,"46,257,594,542","61,029,299,180","46,257,594,542",0,"222,319,992,294",,,,,
[155660],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,260,283,834",,,,,"1,196,967,672","453,659,432",,,,,,,,,,,,,,,,,,,,,"3,010,322,655",,,,,,,,,,,,,,,,,,,,,,,,139,,,"35,813,617,722",,,,,,"124,839,099","347,308,589",,"5,270,606,489","1,003,336,900",,,,"2,222,724,664","3,226,061,564",,,"41,084,224,211",,,,,
[078930],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,550,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"8,620,000,000",,,,,,,,,,,,,,,,,,,,,,,,147,,,,160,,,,,"4,819,000,000","308,000,000",,"32,170,000,000","5,102,000,000",,,,"13,937,000,000","19,039,000,000",,,"32,170,000,000",,,,,
[006360],,,,,,,,"1,824,447,857,845",,,,,,,,,,"63,723,377,459",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"165,373,619,021",,"33,283,874,674",,,"112,786,704,957","80,586,132,957",,,,,,,"2,109,813,846,418",,,,,,,"80,183,750,443",,,,,,,"128,299,802,716",,,,,,,,,,,,,,,,,,,,,,,,"1,802",,,"1,921,455,109,978","1,592",,,,,"62,260,076,923","63,271,821,139",,"293,673,421,737","55,615,786,453",,,"25,130,934,854","142,970,148,784","198,585,935,237",,,"2,215,128,531,715",,,,,
[001250],,,,,,,,,,,"10,211,012,464",,,,,"746,629,549,498",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,966,697,012",,,,,"26,677,557,308","28,931,175,607",,,,,,,,"14,897,894,309",,,,"767,560,541,066",,,,,,,,,"15,651,176,401",,,,,,,,,,,,,,,,,,,,,,,,41,,,"756,840,561,962",,,,,,"3,254,487,787","170,263,473",,"25,617,873,413","1,256,398,925",,0,,"3,372,455,474","4,628,854,399",,,"782,458,435,375",,,,,
[028150],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,734,387,337",,,,,"103,677,474","813,681,320",,,,,,,,,,,,,,,,,,,,,"173,435,040,500",,,,,,,,,,,,,,,,,,,,,,,,"3,885",,,"87,049,708,143","3,885",,,,,"86,725,893","12,603,427,092",,"193,169,427,837","8,118,317,609",,,,"23,255,735,750","31,374,053,359",,,"280,219,135,980",,,,,
[012630],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"626,313,352",,,,,,,,,,,,,,,,"1,641,080,191",,,,,"3,581,809,046",,,0,0,"81,100,526,258","1,305,398,263",,,,,,,,,,,,,,,,,,,,,"1,641,080,191",,,,,,,,,,,,,,,,,,,,,,,,,"1,178",,"2,960,449,504",,,,,,0,"626,313,352",,"5,222,889,237","16,267,364,065",,,,"67,735,886,328","84,003,250,393",,,"8,183,338,741",,,,,
[089470],,,,,,,,,,,,,,,,"2,682,910,647","142,883,807,847",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,607,641,309",,,,,"1,511,886,868","77,734,346",,,,,,,,,,,,"2,897,541,278","157,564,911,923",,,,,,,,"9,205,780,881",,,,,,,,,,,,,,"1,093,210,313",,,,,,,,,,173,,,"145,566,718,494",173,,,,,"241,631,607","924,008,240",,"14,895,734,707","1,649,784,620",,,,"5,167,507,201","6,817,291,821",,,"160,462,453,201",,,,,
[294870],,,,,,,,"676,484,634,316","700,467,366,111",,,,,,,,,"23,982,731,795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92,870,536,215",,"34,364,179,048",,,"1,537,924,391","4,120,706,800",,,,,,,"813,173,161,366",,,,,,,"20,229,130,619",,,,,,,"38,120,394,375",,,,,,,,,,,,,,"4,461,926,630",,,,,,,,,,,"1,705",,"734,831,545,159",,"1,705",,,,"33,928,184","1,176,807,483",,"134,649,593,209","26,113,314,213",,,"36,078,846,383","74,906,373,703","101,019,687,916",,,"869,481,138,368","833,402,291,985",,,,
