,dart_AdvertisingExpenses,dart_AllowanceForOtherDoubtfulAccounts,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_ConferenceExpenses,dart_CostOfSalesFromConstruction,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromRenderingOfServicesCommission,dart_CostOfSalesFromRenderingOfServicesProcession,dart_CostOfSalesFromRenderingOfServicesRental,dart_CostOfSalesFromRenderingOfServicesTransportation,dart_CostOfSalesFromSaleOfGoods,dart_CostOfSalesFromSaleOfGoodsMerchandises,dart_CostOfSalesFromSaleOfGoodsProduct,dart_CostOfSalesFromSaleOfGoodsRealEstate,dart_CostOfSalesFromServices,dart_DepreciationExpense,dart_DividendIncome,dart_DividendIncomeNonOperating,dart_Donations,dart_EmployeeBenefits,dart_EngagementExpenses,dart_EntertainmentExpenses,dart_ExclusiveLineUseExpense,dart_ExportOverallExpense,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsFromCommission,dart_GainsFromFinancialGuaranteeFinancialIncome,dart_GainsOnDisposalsOfFairValueFinancialAssetFinancialIncome,dart_GainsOnDisposalsOfIntangibleAssets,dart_GainsOnDisposalsOfInventory,dart_GainsOnDisposalsOfInvestmentProperty,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_GainsOnForeignCurrencyTransactionsFiancialIncome,dart_GainsOnForeignExchangeTranslationsFinancialIncome,dart_GainsOnTransactionOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfFairValueFinancialAssetFinancialIncome,dart_GainsOnValuationOfLongTermFinancialInstruments,dart_ImpairmentLossDeterminedInAccordanceWithIFRS9,dart_ImpairmentLossRecoveryOfAccountsReceivables,dart_ImpairmentLossesOnAssociates,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LeaseholdAdministrationExpense,dart_LentIncome,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesFromFinancialGuaranteeFinanceExpense,dart_LossesOnDisposalOfIntangibleAssets,dart_LossesOnDisposalsOfFairValueFinancialAssetFinancialExpense,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_LossesOnForeignCurrencyTransactionsFiancialExpense,dart_LossesOnForeignExchangeTranslationsFinancialExpense,dart_LossesOnSaleOfInvestmentsInSubsidiaries,dart_LossesOnTransactionOfDerivativeFinancialInstrumentsFinancialExpense,dart_LossesOnValuationOfDerivativeFinancialInstrumentsFinancialExpense,dart_LossesOnValuationOfFairValueFinancialAssetFinancialExpense,dart_MembershipExpenses,dart_MiscellaneousExpenses,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_NetworkContactSettleExpense,dart_OperatingExpenses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherFinancialExpenses,dart_OtherFinancialIncome,dart_OtherGains,dart_OtherLosses,dart_PackingExpenses,dart_PersonalExpense,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_RevenueFromConstruction,dart_RevenueFromRenderingOfServicesCommission,dart_RevenueFromRenderingOfServicesProcession,dart_RevenueFromRenderingOfServicesRental,dart_RevenueFromRenderingOfServicesTransportation,dart_RevenueFromSaleOfGoodsMerchandise,dart_RevenueFromSaleOfGoodsProduct,dart_RevenueFromSaleOfGoodsRealEstate,dart_RevenueFromServices,dart_ReversalsOfAllowanceForOtherDoubtfulAccounts,dart_SalariesWages,dart_SamplesExpenses,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,entity_BasicEarningsLossPerShare,entity_BasicEarningsLossPerShareFromContinuingOperations,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_DilutedEarningsLossPerShareFromContinuingOperations,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingExpenses,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherLosses,entity_ProfitLoss,entity_Revenue,entity_RevenueFromRenderingOfServices,entity_TotalSellingGeneralAdministrativeExpenses,ifrs-full_BasicEarningsLossPerShare,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_CostOfSales,ifrs-full_DilutedEarningsLossPerShare,ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_EarningsPerShareAbstract,ifrs-full_EmployeeBenefitsExpense,ifrs-full_FinanceCosts,ifrs-full_FinanceIncome,ifrs-full_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs-full_GrossProfit,ifrs-full_IncomeTaxExpenseContinuingOperations,ifrs-full_LossesArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,ifrs-full_OtherRevenue,ifrs-full_ProfitLoss,ifrs-full_ProfitLossBeforeTax,ifrs-full_ProfitLossFromContinuingOperations,ifrs-full_ProfitLossFromDiscontinuedOperations,ifrs-full_Revenue,ifrs-full_RevenueFromConstructionContracts,ifrs-full_RevenueFromDividends,ifrs-full_RevenueFromRenderingOfServices,ifrs-full_RevenueFromRoyalties,ifrs-full_RevenueFromSaleOfGoods
[001040],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,825,701,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"18,434,108,000",,,,,,,,,,,,,,"25,259,809,000",,,,,,,,,-256,,,,-256,,,,,"17,750,466,000","1,225,921,000","24,941,000",,"-1,397,530,000",,,,"-8,276,373,000","-9,673,903,000",,,,,,,,
[000120],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44,179,590,775",,,,,"1,814,316,329","17,296,882,335",,,,,,,,,,,,,,,,,,,,,"92,673,565,196",,,,,,,,,,,,,,,,,,,,,,,246,,,"1,480,665,802,060",,,,,,"25,925,356,742","5,367,642,694",,"136,853,155,971","1,425,862,288",,,,"6,713,448,433","8,139,310,721",,,"1,617,518,958,031",,,,,
[000990],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49,264,718,084",,,,,"5,295,521,329","7,147,620,234",,,,,,,,,,,,,,,,,,,,,"32,667,662,412",,,,,,,,,,,,,,,,,,,,,,,735,,,"131,552,693,179",735,,,,,"5,945,631,912","1,348,866,419",,"81,932,380,496","10,922,474,867",,,,"31,893,378,819","42,815,853,686","31,893,378,819",0,"213,485,073,675",,,,,
[155660],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,588,970,104",,,,,"1,292,881,567","449,624,835",,,,,,,,,,,,,,,,,,,,,"3,214,723,025",,,,,,,,,,,,,,,,,,,,,,,169,,,"38,404,648,284",,,,,,"123,482,967","314,256,708",,"5,803,693,129","920,134,210",,,,"2,702,866,367","3,623,000,577",,,"44,208,341,413",,,,,
[078930],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,014,000,000",,,,,"5,012,000,000",,,,,,,,,,,,,,,,,,,,,,"13,083,000,000",,,,,,,,,,,,,,,,,,,,,,,163,,,,176,,,,,"5,054,000,000","323,000,000",,"33,097,000,000","4,837,000,000",,,,"15,458,000,000","20,295,000,000",,,"33,097,000,000",,,,,
[006360],,,,,,,,"1,916,503,994,870",,,,,,,,,,"90,443,220,732",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"192,873,201,097",,"35,631,035,167",,,"103,609,786,169","92,383,365,153",,,,,,,"2,209,621,111,165",,,,,,,"121,495,143,650",,,,,,,"120,951,066,730",,,,,,,,,,,,,,,,,,,,,,,"2,148",,,"2,042,578,250,769","1,992",,,,,"56,378,627,484","91,123,844,549",,"313,824,267,827","68,555,208,772",,,"25,286,263,781","170,289,630,406","238,844,839,178",,,"2,356,402,518,596",,,,,
[001250],,,,,,,,,,,"12,729,091,662",,,,,"917,824,657,677",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,478,086,428",,,,,"41,790,416,379","43,295,114,676",,,,,,,,"15,589,769,891",,,,"943,944,602,955",,,,,,,,,"14,502,537,079",,,,,,,,,,,,,,,,,,,,,,,77,,,"930,553,749,339",,,,,,"3,915,736,167","302,211,395",,"28,980,623,507","2,972,705,155",,0,,"6,387,158,204","9,359,863,359",,,"959,534,372,846",,,,,
[028150],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,604,465,140",,,,,"284,081,887","332,571,863",,,,,,,,,,,,,,,,,,,,,"180,676,279,887",,,,,,,,,,,,,,"-6,773,241,178",,,,,,,,,"4,544",,,"97,281,615,227","4,544",,,,,"175,611,450","10,023,384,649",,"213,280,745,027","11,888,535,013",,,,"27,227,794,978","39,116,329,991",,,"310,562,360,254",,,,,
[012630],,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"840,203,330",,,,,,,,,,,,,,,,"1,657,823,856",,,,,"3,953,852,086",,,0,0,"3,086,563,808","161,198",,,,,,,,,,,,,,,,,,,,,"1,657,823,856",,,,,,,,,,,,,,,,,,,,,,,,91,,"5,375,451,555",,,,,,0,"840,203,330",,"5,611,675,942","2,642,085,066",,,,"5,238,372,960","7,880,458,026",,,"10,987,127,497",,,,,
[089470],,,,,,,,,,,,,,,,"2,987,329,479","164,058,949,716",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,178,510,094",,,,,"14,665,851,565","94,276,980",,,,,,,,,,,,"3,097,504,972","180,359,766,186",,,,,,,,"10,318,858,863",,,,,,,,,,,,,,"1,196,465,902",,,,,,,,,493,,,"167,046,279,195",493,,,,,"2,568,430,015","2,649,640,274",,"16,410,991,963","4,776,147,836",,,,"14,960,003,302","19,736,151,138",,,"183,457,271,158",,,,,
[294870],,,,,,,,"762,172,165,818","1,167,345,056,723",,,,,,,,,"405,172,890,905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"194,982,568,141",,"38,899,390,758",,,"2,282,022,178","4,486,052,309",,,,,,,"847,738,319,076",,,,,,,"566,596,754,638",,,,,,,"49,114,936,677",,,,,,,,,,,,,,"4,609,475,513",,,,,,,,,,"3,417",,"1,206,244,447,481",,"3,417",,,,"83,347,607","470,650,023",,"243,059,052,715","-51,676,074,573",,,"34,968,426,482","150,090,372,893","201,766,447,466",,,"1,449,303,500,196","1,414,335,073,714",,,,
