,dart_AdvertisingExpenses,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_ConferenceExpenses,dart_CostOfSalesFromConstruction,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromRenderingOfServicesCommission,dart_CostOfSalesFromRenderingOfServicesProcession,dart_CostOfSalesFromRenderingOfServicesRental,dart_CostOfSalesFromRenderingOfServicesTransportation,dart_CostOfSalesFromSaleOfGoods,dart_CostOfSalesFromSaleOfGoodsMerchandises,dart_CostOfSalesFromSaleOfGoodsProduct,dart_CostOfSalesFromSaleOfGoodsRealEstate,dart_CostOfSalesFromServices,dart_DepreciationExpense,dart_DividendIncome,dart_DividendIncomeNonOperating,dart_Donations,dart_EmployeeBenefits,dart_EngagementExpenses,dart_EntertainmentExpenses,dart_ExclusiveLineUseExpense,dart_ExportOverallExpense,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsFromCommission,dart_GainsFromFinancialGuaranteeFinancialIncome,dart_GainsOnDisposalsOfFairValueFinancialAssetFinancialIncome,dart_GainsOnDisposalsOfInventory,dart_GainsOnDisposalsOfInvestmentProperty,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_GainsOnForeignCurrencyTransactionsFiancialIncome,dart_GainsOnForeignExchangeTranslationsFinancialIncome,dart_GainsOnTransactionOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfFairValueFinancialAssetFinancialIncome,dart_GainsOnValuationOfLongTermFinancialInstruments,dart_ImpairmentLossDeterminedInAccordanceWithIFRS9,dart_ImpairmentLossRecoveryOfAccountsReceivables,dart_ImpairmentLossesOnAssociates,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LeaseholdAdministrationExpense,dart_LentIncome,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesOnDisposalOfIntangibleAssets,dart_LossesOnDisposalOfInvestmentProperty,dart_LossesOnDisposalsOfFairValueFinancialAssetFinancialExpense,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_LossesOnForeignCurrencyTransactionsFiancialExpense,dart_LossesOnForeignExchangeTranslationsFinancialExpense,dart_LossesOnSaleOfInvestmentsInSubsidiaries,dart_LossesOnTransactionOfDerivativeFinancialInstrumentsFinancialExpense,dart_LossesOnValuationOfDerivativeFinancialInstrumentsFinancialExpense,dart_LossesOnValuationOfFairValueFinancialAssetFinancialExpense,dart_MembershipExpenses,dart_MiscellaneousExpenses,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_NetworkContactSettleExpense,dart_OperatingExpenses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherFinancialExpenses,dart_OtherFinancialIncome,dart_OtherGains,dart_OtherLosses,dart_PackingExpenses,dart_PersonalExpense,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_RevenueFromConstruction,dart_RevenueFromRenderingOfServicesCommission,dart_RevenueFromRenderingOfServicesProcession,dart_RevenueFromRenderingOfServicesRental,dart_RevenueFromRenderingOfServicesTransportation,dart_RevenueFromSaleOfGoodsMerchandise,dart_RevenueFromSaleOfGoodsProduct,dart_RevenueFromSaleOfGoodsRealEstate,dart_RevenueFromServices,dart_SalariesWages,dart_SamplesExpenses,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,entity_BasicEarningsLossPerShare,entity_BasicEarningsLossPerShareFromContinuingOperations,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_DilutedEarningsLossPerShareFromContinuingOperations,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingExpenses,entity_OperatingIncomeLoss,entity_OtherGains,entity_ProfitLoss,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_RevenueFromRenderingOfServices,entity_TotalSellingGeneralAdministrativeExpenses,ifrs-full_BasicEarningsLossPerShare,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_CostOfSales,ifrs-full_DilutedEarningsLossPerShare,ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_EarningsPerShareAbstract,ifrs-full_EmployeeBenefitsExpense,ifrs-full_FinanceCosts,ifrs-full_FinanceIncome,ifrs-full_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs-full_GrossProfit,ifrs-full_IncomeTaxExpenseContinuingOperations,ifrs-full_LossesArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,ifrs-full_OtherRevenue,ifrs-full_ProfitLoss,ifrs-full_ProfitLossBeforeTax,ifrs-full_ProfitLossFromContinuingOperations,ifrs-full_ProfitLossFromDiscontinuedOperations,ifrs-full_Revenue,ifrs-full_RevenueFromConstructionContracts,ifrs-full_RevenueFromDividends,ifrs-full_RevenueFromRenderingOfServices,ifrs-full_RevenueFromRoyalties,ifrs-full_RevenueFromSaleOfGoods
[001040],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,925,720,000",,,,,,,,,,,,,,,,,,,,,,,,,,"16,714,958,000",,,,,,,,,,,,,,"22,640,678,000",,,,,,,,,290,,,,290,,,,,"3,123,029,000","11,188,239,000","-64,194,000",,"4,171,694,000",,,,"9,755,042,000","13,926,736,000",,,,,,,,
[000120],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64,073,835,816",,,,,"6,454,108,131","17,015,177,373",,,,,,,,,,,,,,,,,,,,"109,102,505,675",,,,,,,,,,,,,,,,,,,,,,,"1,328",,,"1,534,525,592,470",,,,,,"22,886,087,104","3,464,154,610",,"173,176,341,491","5,476,778,341",,,,"28,614,055,739","34,090,834,080",,,"1,707,701,933,961",,,,,
[000990],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77,028,267,385",,,,,"1,124,745,674","3,285,067,765",,,,,,,,,,,,,,,,,,,,"27,986,514,775",,,,,,,,,,,,,,,,,,,,,,,"1,260",,,"136,636,284,521","1,260",,,,,"3,582,583,829","942,200,735",,"105,014,782,160","17,515,542,663",,,,"54,712,019,537","72,227,562,200","54,712,019,537",0,"241,651,066,681",,,,,
[000210],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,470,624,735",,,,,"1,738,413,807","75,015,404,522",,,,,,,,,,,,,,,,,,,,"16,735,314,493",,,,,,,,,,"4,364",,,,"168,455,372,031",,,,,,,,,"-1,961",,,"147,747,557,993","4,364",,,,,"4,348,455,179","1,407,708,808",,"32,205,939,228","14,906,531,956",,,,"92,801,727,724","-60,747,112,351",,,"179,953,497,221",,,,,
[001880],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46,259,689,944",,,,,"2,290,303,702","833,025,658",,,,,,,,,,,,,,,,,,,,"12,253,177,043",,,,,,,,,,,,,,,,,,,,,,,"2,388",,,"282,265,093,304",0,,,,,"142,938,449","1,431,616,263",,"58,512,866,987","12,756,708,553",,,,"36,248,937,249","49,005,645,802",,,"340,777,960,291",,,,,
[375500],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[155660],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,640,973,848",,,,,"98,817,651","134,485,387",,,,,,,,,,,,,,,,,,,,"3,727,107,233",,,,,,,,,,,,,,,,,,,,,,,128,,,"35,713,007,041",,,,,,"114,287,341","179,347,461",,"6,368,081,081","627,124,772",,,,"2,043,241,460","2,670,366,232",,,"42,081,088,122",,,,,
[078930],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,462,000,000",,,,,"995,000,000","5,000,000",,,,,,,,,,,,,,,,,,,,"20,040,000,000",,,,,,,,,,,,,,,,,,,,,,,54,,,,66,,,,,"9,342,000,000","3,082,000,000",,"32,502,000,000","2,062,000,000",,,,"5,130,000,000","7,192,000,000",,,"32,502,000,000",,,,,
[006360],,,,,,,"1,801,534,414,745",,,,,,,,,,"116,663,251,263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"149,595,505,278",,"32,982,106,864",,,"1,931,569,181","47,691,328,226",,,,,,,"2,006,980,535,831",,,,,,,"191,270,348,758",,,,,,"122,066,707,419",,,,,,,,,,,,,,,,,,,,,,,"1,238",,,"1,951,179,772,872","1,213",,,,,"24,193,758,647","52,907,610,263",,"271,662,212,697","34,082,243,635",,,"24,591,100,980","98,467,354,214","132,549,597,849",,,"2,222,841,985,569",,,,,
[001250],,,,,,,,,,"11,724,303,997",,,,,"475,329,781,365",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,537,041,172",,,,,"13,240,571,183","12,382,022,810",,,,,,,,"16,908,276,059",,,,"494,897,005,157",,,,,,,,"14,214,154,682",,,,,,,,,,,,,,,,,,,,,,,76,,,"487,054,085,362",,,,,,"2,817,239,123","448,464,867",,"24,751,195,854","2,756,339,761",,,,"6,270,475,528","9,026,815,289",,,"511,805,281,216",,,,,
[012630],,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"475,461,331","406,269,421",,,,,,,,,,,,,,,,"1,793,446,118",,,,,"2,638,130,311",,,"-560,768,450","1,633,454,113","19,137,647,059","2,749,496,709",,,,,,,,,,,,,,,,,,,,"1,793,446,118",,,,,,,,,,,,,,,,,,,,,,,,278,,"5,192,984,260",,,,,,"-85,307,119","2,039,723,534",,"4,431,576,429","5,892,651,915",,,,"15,258,659,399","21,151,311,314",,,"9,624,560,689",,,,,
