,dart_AdvertisingExpenses,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromDividends,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromSaleOfGoods,dart_DepreciationExpense,dart_DividendIncome,dart_Donations,dart_EmployeeBenefits,dart_EntertainmentExpenses,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsFromGovernmentGrants,dart_GainsOnDisposalsOfInvestments,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LossArisingFromDifferenceBetweenCarryingAmountOfFinancialLiabilityExtinguishedAndConsiderationPaid,dart_LossOnDispositionOfReceivables,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesOnDisposalsOfInvestments,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherGains,dart_OtherLosses,dart_OtherReversalsOfProvisions,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_SalariesWages,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,dart_WritedownsOfInventories,entity_BasicEarningsLossPerShare,entity_BasicEarningsLossPerShareFromContinuingOperations,entity_BasicEarningsLossPerShareFromDiscontinuedOperations,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_DilutedEarningsLossPerShareFromContinuingOperations,entity_DilutedEarningsLossPerShareFromDiscontinuedOperations,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherLosses,entity_ProfitLoss,entity_ProfitLossAttributableToAbstract,entity_ProfitLossAttributableToNoncontrollingInterests,entity_ProfitLossAttributableToOwnersOfParent,entity_ProfitLossBeforeTax,entity_ProfitLossFromContinuingOperations,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,entity_TotalSellingGeneralAdministrativeExpenses,ifrs_AdministrativeExpense,ifrs_BasicEarningsLossPerShare,ifrs_BasicEarningsLossPerShareFromContinuingOperations,ifrs_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs_CostOfSales,ifrs_DepreciationAndAmortisationExpense,ifrs_DilutedEarningsLossPerShare,ifrs_DilutedEarningsLossPerShareFromContinuingOperations,ifrs_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs_EarningsPerShareAbstract,ifrs_EmployeeBenefitsExpense,ifrs_FinanceCosts,ifrs_FinanceIncome,ifrs_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs_GrossProfit,ifrs_IncomeTaxExpenseContinuingOperations,ifrs_OtherRevenue,ifrs_ProfitLoss,ifrs_ProfitLossAttributableToAbstract,ifrs_ProfitLossAttributableToNoncontrollingInterests,ifrs_ProfitLossAttributableToOwnersOfParent,ifrs_ProfitLossBeforeTax,ifrs_ProfitLossFromContinuingOperations,ifrs_ProfitLossFromDiscontinuedOperations,ifrs_RawMaterialsAndConsumablesUsed,ifrs_Revenue,ifrs_RevenueFromConstructionContracts,ifrs_RevenueFromDividends,ifrs_RevenueFromRenderingOfServices,ifrs_RevenueFromSaleOfGoods,ifrs_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
[001040],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"335,842,193,000",,,"27,085,330,000","87,872,743,000",,,,,,,,,"1,271,165,611,000",,,,,,,,,,,,,"3,447,000",,,,,,,,,,,,,,,"18,183,953,000",,,,"3,401",,,"3,363,573,370,000",,"3,397",,,,,"156,490,734,000","97,752,993,000",,"1,607,007,804,000","62,938,209,000","264,789,500,000","255,905,984,000",,"159,268,007,000","96,637,977,000","318,844,193,000","255,905,984,000",,,"4,970,581,174,000","49,704,389,000",,"1,766,792,340,000","2,871,110,992,000","102,527,154,000"
[000120],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,626,564,571",,,"1,510,171,789","20,634,752,258",,,,,,,,,"79,781,519,519",,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,908,428,060",,,,,364,475,-111,"1,053,886,231,806",,,,,,,"19,524,524,828","6,148,488,954",,"127,408,084,090","7,936,929,093",,"7,372,728,658",,"1,028,521,368","6,344,207,290","18,218,085,811","10,281,156,718","-2,908,428,060",,"1,181,294,315,896",,,,,
[155660],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,709,909,426",,,"663,064,752","1,029,349,502",,,,,,,,,"4,729,002,795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,"46,390,202,832",,,,,,,"124,305,951","176,613,495",,"6,438,912,221","302,996,943",,,,"-59,203,580","1,152,138,857","1,395,932,220",,,,"52,829,115,053",,,,,
[078930],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[006360],,,,,,,,"42,245,042,547","2,049,193,097,733",,,,,,,,,,,,,,,,,,,,,,,"20,016,763,825",,"99,785,921,912","70,626,087,297","64,550,317,021",,,,,,,,,"104,581,386,224",,,,,,,,,,,,,,,,,-1,,,,"1,493,066,634",,,,,,,,,,,,,,"2,191,224,062,192",,,,,,,"56,105,276,538","50,656,497,423",,"124,598,150,049","20,506,707,592","95,781,148,836","1,449,316,328",,,,"21,956,023,920",,,,"2,315,822,212,241",,,"45,776,491,771","2,174,264,571,634","1,312,268,934"
[001250],,,,,,,,"11,478,732,924",,,,,,,,,,,,,,,,,,,,,,,,"7,582,004,996",,,"20,816,644,118","19,736,635,827",,,,,,,,,,,,,,,,,,"9,488,895,704",,,,,,,,"-104,199,425",,,,,,,,,,,"8,151,202,920",,,"11,458,943,713",410,,,"614,819,580,474",,,,,,,"1,680,333,366","4,359,578,563",,"22,592,048,102","966,676,165",,"9,122,885,986",,,,"10,089,562,151",,,,"637,411,628,576",,,"14,458,377,711",,
[028150],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,700,077,575",,,"125,647,188","377,357,076",,,,,,,,,"215,642,858,962",,,,,,,,,,,,,"3,941",,,,,,,,,,,,,,,,,,,,,,"40,957,027,261",,,,,,,"104,394,341","5,135,016,378",,"242,342,936,537","8,204,646,528",,"24,455,722,372",,"-130,786,188","24,586,508,560","32,660,368,900",,,,"283,299,963,798",,,,,"1,181,379,176"
[024120],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,558,112,118",,,"348,177,970","166,962,504",,,,,,,,,"1,833,012,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,,,"25,563,663,934",,,,,,,"643,164,932","490,011,029",,"3,391,125,078","262,265,012",,"1,323,908,669",,,"1,323,908,669","1,586,173,681",,,,"28,954,789,012",,,,,
[083470],,,,,,,,,,,,,,,,,,,,,,,"17,567,404",,,,,,,,,"1,098,240,450",,,,,,,,,,,,,"2,530,440,364",,,,,,,,,,,,,,,"249,897,335",,57,,,,,,,,,,,,,,,,,,"21,106,261,803",,,,,,,,"686,591,209",,"4,882,005,777","38,469,387",,,,,,"1,145,804,404",,,,,,,,,
[003550],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"199,943,000,000",,,,,,,,,,,,,"114,370,000,000",,,,,,,,,,,,,"1,006,000,000",,,,,"13,529,000,000",,,,,,,,,,"146,915,000,000",,,,,,,"1,839,634,000,000",,,,,,,,,,"314,313,000,000","25,909,000,000","92,303,000,000","157,081,000,000",,"-11,197,000,000","168,278,000,000","182,990,000,000","157,081,000,000",,,"2,153,947,000,000","265,254,000,000",,"478,326,000,000","1,171,149,000,000",
[001120],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,920,013,408",,,,,,,,,,,,,"66,051,068,769",,,,,,,,,,,,,,,,,"13,026,902,785",,,,,,,,,,,,,,,315,,,"2,557,897,009,824",,315,,,,,,,,"86,971,082,177","9,922,228,396",,"13,237,449,130",,"1,054,524,621","12,182,924,509","23,159,677,526",,,,"2,644,868,092,001",,,,,
[051900],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"178,457,834,802",,,,,,,,,,,,,"583,686,734,823",,,,,,,,,,,,,"7,340",,,,"1,486,869,504",,,,,,,,,,,,,,,"7,327",,,"539,803,406,148",,,,,,,"8,909,048,113","1,989,957,221",,"762,144,569,625","44,164,440,505",,"124,357,156,993",,"1,556,410,003","122,800,746,990","168,521,597,498",,,,"1,301,947,975,773",,,,,
