,dart_AdvertisingExpenses,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromSaleOfGoods,dart_DepreciationExpense,dart_DividendIncome,dart_Donations,dart_EmployeeBenefits,dart_EntertainmentExpenses,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesOnDisposalsOfInvestments,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherGains,dart_OtherLosses,dart_OtherReversalsOfProvisions,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_SalariesWages,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,dart_WritedownsOfInventories,dart_WritedownsOfPropertyPlantAndEquipment,entity_BasicEarningsLossPerShare,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,entity_OtherLosses,entity_ProfitLoss,entity_ProfitLossBeforeTax,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_TotalSellingGeneralAdministrativeExpenses,ifrs_AdministrativeExpense,ifrs_BasicEarningsLossPerShare,ifrs_BasicEarningsLossPerShareFromContinuingOperations,ifrs_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs_CostOfSales,ifrs_DepreciationAndAmortisationExpense,ifrs_DilutedEarningsLossPerShare,ifrs_DilutedEarningsLossPerShareFromContinuingOperations,ifrs_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs_DistributionCosts,ifrs_EarningsPerShareAbstract,ifrs_EmployeeBenefitsExpense,ifrs_FinanceCosts,ifrs_FinanceIncome,ifrs_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs_GrossProfit,ifrs_IncomeTaxExpenseContinuingOperations,ifrs_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,ifrs_OtherRevenue,ifrs_ProfitLoss,ifrs_ProfitLossBeforeTax,ifrs_ProfitLossFromContinuingOperations,ifrs_ProfitLossFromDiscontinuedOperations,ifrs_RawMaterialsAndConsumablesUsed,ifrs_Revenue,ifrs_RevenueFromConstructionContracts,ifrs_RevenueFromDividends,ifrs_RevenueFromRenderingOfServices,ifrs_RevenueFromRoyalties,ifrs_RevenueFromSaleOfGoods,ifrs_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
[001040],,,,,,,,,,,,,,,,,,,,,,,,,,,"8,821,583,000",,,,,,,,,,,,,,,,,,,,,,,"259,000",,,,"-15,224,000",,,,,,,,"1,966,716,000",,,210,,,,,209,,,,,,"2,408,580,000","781,275,000",,,"1,107,009,000",,,"6,072,045,000","7,179,054,000",,,,"21,766,331,000",,,,"19,799,615,000",,
[000120],,,,,,,,,,,,,,,,,,,,,,,,,,,"31,465,012,932",,,"2,641,285,382","16,986,887,702",,,,,,,,,"68,293,110,590",,,,,,,,,,,,,,,,,,,,,,,,,521,,,"976,362,453,980",,,,,,,,"13,217,674,562","8,780,784,572",,"99,758,123,522","3,611,684,377",,,"9,070,836,245","12,682,520,622",,,,"1,076,120,577,502",,,,,,
[037560],,,,,,,,,,,,,,,,,,,,,,,,,,,"31,060,850,414",,,,,,,,,,,,,,,,,,,,,,,,,,"-74,642,873,667",,,,,,,,,,,,229,,,"190,120,134,128",,229,,,,,,,,,"105,703,724,081","5,516,872,918",,,"17,699,147,967","23,216,020,885",,,,"295,823,858,209",,,,,,
[155660],,,,,,,,,,,,,,,,,,,,,,,,,,,"4,214,656,357",,,"1,316,778,079","1,355,022,372",,,,,,,,,"3,647,000,683",,,,,,,,,,,,,,,,,,,,,,,,,206,,,"33,301,649,504",,,,,,,,"468,018,694","561,365,805",,"7,861,657,040","977,531,031",,,"3,292,228,144","4,269,759,175",,,,"41,163,306,544",,,,,,
[078930],,,,,,,,,,,,,,,,,,,,,,,,,,,"22,981,000,000",,,"10,000,000",,,,,,,,,,,,,,,,,,,,"107,000,000",,,,"6,147,000,000",,,,,,,,,,,,94,,,,,,,,,,"9,607,000,000","17,000,000",,,"4,446,000,000",,,"8,955,000,000","13,401,000,000",,,,,,,,,,
[006360],,,,,,,"77,260,990,538","2,100,591,355,358",,,,,,,,,,,,,,,,,,,"50,056,881,089",,"95,915,204,870","206,328,023,816","400,866,613,083",,,,,,,,,"87,522,869,258",,,,,,,,,,,,,,-769,,,,,,,,,,,,,,"2,273,767,550,766",,,,,,,,"239,839,435,602","315,151,790,928",,"137,579,750,347","-15,652,835,102",,"121,833,239,069","-53,516,517,750","-69,169,352,852",,,,"2,411,347,301,113",,,"113,193,281,492",,"2,176,320,780,552",
[028150],,,,,,,,,,,,,,,,,,,,,,,,,,,"18,266,028,555",,,"72,722,832","672,322,885",,,,,,,,,"205,489,922,138",,,,,,,,,,,,,,,,,,,,,,,,,"2,578",,,"24,003,806,326",,"2,578",,,,,,"37,130,620","3,855,778,195",,"223,755,950,693","5,400,632,273",,,"16,084,443,804","21,485,076,077",,,,"247,759,757,019",,,,,,
[024120],,,,,,,,,,,,,,,,,,,,,,,,,,,"2,779,223,093",,,"142,462,081","83,996,458",,,,,,,,,"1,633,725,049",,,,,,,,,,,,,,,,,,,,,,,,,279,,,"25,302,202,369",,,,,,,,"915,769,966","1,841,957,812",,"4,412,948,142","550,099,985",,,"3,213,776,577","3,763,876,562",,,,"29,715,150,511",,,,,,
[083470],,,,,,,,,,,,,,,,,,,,,,,,,,,"1,750,788,948",,,,,,,,,,,,,,,,,,,,,,,,,,,195,,,,,,,,,,,,,,"12,567,790,747",,,,,,,,,,,"5,081,302,522",0,,,,"3,779,446,831",,,,,,,,,,
[036030],,,,,,,,,,,,,,,,,,,,,,,,,,,"709,165,899",,,"470,542,765","1,172,068,013",,,,,,,,,"2,229,551,003",,,,,,,,,,,,,,,,,,,,,,,,,119,119,,"38,877,465,749",,,,,,,,,"9,415,244,534",,"2,938,716,902","5,171,120,656","-4,123,178",,"4,247,641,351","9,418,762,007","4,247,641,351",,,"41,816,182,651",,,,,,
[043610],,,,,,,,,,,,,,,,,,,,,,,,,,,"1,370,183,451",,,"151,137,204","12,035,379",,,,,,,,,,,,,,,,,,,,,,,"-21,870,683,664",,,,,,,,,,,40,,,,,40,,,,,,"2,383,251","190,027,677",,,"115,989,713","84,938,902",,"1,665,878,891","1,781,868,604",,,,"23,240,867,115",,,,,,
[060370],,,,,,,,,,,,,,,,,,,,,,,,,,,"1,417,719,956",,,"636,209,424","368,898,953",,,,,,,,,"950,010,621",,,,,,,,,,,,,,"2,989,053,876",,,,,,,,,,,-27,,,"13,065,422,798",,,,,,,,,"602,590,730",,"2,367,730,577","-152,491,974",,,"-548,940,745","-701,432,719",,,,,,,,,,
[003550],,,,,,,,,,,,,,,,,,,,,,,,,,,"41,886,000,000",,,,,,,,,,,,,,,,,,,,,,,"191,000,000",,,,"82,000,000",,,,,,,,"25,796,000,000",,,,,,,,,,,,,,,,,,"10,822,000,000",,,"33,538,000,000","44,360,000,000",,,,"90,203,000,000",,,,,,
[001120],,,,,,,,,,,,,,,,,,,,,,,,,,,"29,048,976,626",,,,,,,,,,,,,"53,864,802,016",,,,,,,,,,,,,,"4,136,521,211",,,,,,,,,,,-86,,,"900,445,814,684",,,,,,,,,,,"82,913,778,642","3,160,908,474",,,"-3,337,934,280","-177,025,806",,,,"983,359,593,326",,,,,,
[051900],,,,,,,,,,,,,,,,,,,,,,,,,,,"122,294,717,437",,,,,,,,,,,,,"316,807,276,492",,,,,,,,,,"5,614",,,,"4,893,324,870",,,,,,,,,,,"5,601",,,"337,262,918,505",,,,,,,,"7,960,328,356","1,417,307,920",,"439,101,993,929","26,766,296,521",,,"93,878,725,350","120,645,021,871",,,,"776,364,912,434",,,,,,
[032640],,,,"1,380,567,000,000",,,,,"402,981,000,000",,,,,,,,,,,,,,,,,,"175,646,000,000",,,"40,582,000,000","19,868,000,000",,,,,,"129,088,000,000",,,"1,912,636,000,000",,,,,,,,,,,,,,,,,,,,,,,,,268,,,"625,087,000,000",,,,,,,,"55,544,000,000","10,108,000,000",,"2,088,282,000,000","33,826,000,000",,,"117,098,000,000","150,924,000,000",,,,"2,713,369,000,000",,,,,,
[011070],,,,,,,,,,,,,,,,,,,,,,,,,,,"44,333,105,979",,,"34,951,090,534","52,891,999,601",,,,,,,,,"125,912,983,055",,,,,,,,,,,,,,,,,,,,,,,"76,646,175,465",,,514,,"1,263,715,225,084",,,514,,,,,"15,078,278,434","2,547,242,555",,"170,246,089,034","1,693,589,800",,,"12,167,571,233","13,861,161,033","12,167,571,233",,,"1,433,961,314,118",,,,,,
[066570],,,,,,,,,,,,,,,,,,,,,,,,,,,"-153,022,000,000",,,"411,291,000,000","416,789,000,000",,,,,,,,,"649,720,000,000",,,,,,,,,,"-2,000,000",,,,"125,887,000,000",,,,,,,,,,"151,750,000,000",-761,-759,-2,"5,680,989,000,000",,,,,,,,"120,917,000,000","100,064,000,000",,"1,277,448,000,000","-42,827,000,000",,,"-137,044,000,000","-179,373,000,000","-136,546,000,000","-498,000,000",,"6,958,437,000,000",,,,,,
[108670],,,,,,,,,,,,,,,,,,,,,,,,,,,"36,565,000,000",,,,,,,,,,,,,"115,240,000,000",,,,,,,,,,,,,,"4,717,000,000",,,,,,,,,,,,"2,934",-152,"435,895,000,000",,,"2,946",-152,,,,,,,"151,805,000,000","8,171,000,000",,,"27,769,000,000","37,462,000,000","29,291,000,000","-1,522,000,000",,"587,700,000,000",,,,,,
[051910],,,,,,,,,,,,,,,,,,,,,,,,,,,"530,064,000,000",,,"148,267,000,000","229,971,000,000",,,,,,,,,"408,166,000,000",,,,,,,,,,"5,380,000,000",,,,,,,,,,,,,,,,,,"3,535,244,000,000",,,,,,,,"33,424,000,000","84,962,000,000",,"938,230,000,000","105,102,000,000",,,"394,796,000,000","499,898,000,000",,,,"4,473,474,000,000",,,,,,
