,dart_AdvertisingExpenses,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromSaleOfGoods,dart_DepreciationExpense,dart_DividendIncome,dart_Donations,dart_EmployeeBenefits,dart_EntertainmentExpenses,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsOnDisposalsOfInvestments,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesOnDisposalsOfInvestments,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherGains,dart_OtherLosses,dart_OtherReversalsOfProvisions,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_SalariesWages,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,dart_WritedownsOfInventories,dart_WritedownsOfPropertyPlantAndEquipment,entity_BasicEarningsLossPerShare,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,entity_OtherLosses,entity_ProfitLoss,entity_ProfitLossBeforeTax,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_TotalSellingGeneralAdministrativeExpenses,ifrs_AdministrativeExpense,ifrs_BasicEarningsLossPerShare,ifrs_BasicEarningsLossPerShareFromContinuingOperations,ifrs_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs_CostOfSales,ifrs_DepreciationAndAmortisationExpense,ifrs_DilutedEarningsLossPerShare,ifrs_DilutedEarningsLossPerShareFromContinuingOperations,ifrs_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs_EarningsPerShareAbstract,ifrs_EmployeeBenefitsExpense,ifrs_FinanceCosts,ifrs_FinanceIncome,ifrs_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs_GrossProfit,ifrs_IncomeTaxExpenseContinuingOperations,ifrs_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,ifrs_OtherRevenue,ifrs_ProfitLoss,ifrs_ProfitLossBeforeTax,ifrs_ProfitLossFromContinuingOperations,ifrs_ProfitLossFromDiscontinuedOperations,ifrs_RawMaterialsAndConsumablesUsed,ifrs_Revenue,ifrs_RevenueFromConstructionContracts,ifrs_RevenueFromDividends,ifrs_RevenueFromRenderingOfServices,ifrs_RevenueFromRoyalties,ifrs_RevenueFromSaleOfGoods,ifrs_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
[001040],,,,,,,,,,,,,,,,,,,,"2,401,111,000","614,356,000",,,,,,,"42,183,544,000",,,,,,,,,,,,,,,,,,,,,,,"1,352,000",,,,"384,719,000",,,,,,,,"1,967,118,000",,,"1,307",,,,,"1,302",,,,,"2,401,111,000","614,909,000",,,"3,523,525,000",,,"37,258,536,000","40,782,061,000",,,,"54,237,893,000",,"33,081,247,000",,"19,189,528,000",,
[000120],,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,937,582,025",,,"1,205,782,078","19,992,509,966",,,,,,,,,"73,562,622,309",,,,,,,,,,,,,,,,,,,,,,,,,760,,,"1,052,070,689,175",,,,,,,"16,831,986,471","12,671,403,691",,"106,500,204,334","2,998,003,134",,,"13,396,179,950","10,398,176,816",,,,"1,158,570,893,509",,,,,,
[037560],,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,093,250,262",,,,,,,,,,,,,,,,,,,,,,,,,,"-80,977,573,446",,"-298,792,998",,,,,,,,,,246,,,"172,482,968,838",,246,,,,,,,,"106,070,823,708","4,261,256,278",,,"19,078,449,251","23,339,705,529",,,,"278,553,792,546",,,,,,
[155660],,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,393,988,659",,,"714,838,856","478,401,533",,,,,,,,,"3,474,205,590",,,,,,,,,,,,,,,,,,,,,,,,,180,,,"31,001,959,064",,,,,,,"102,072,025","187,752,927",,"6,868,194,249","840,998,774",,,"2,875,108,110","3,716,106,884",,,,"37,870,153,313",,,,,,
[078930],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[006360],,,,,,,"79,675,749,780","2,024,057,430,636",,,,,,,,,,,,,,,,,,,,"98,641,298,350",,"42,475,063,259","135,937,523,654","231,410,720,503",,,,,,,,,"85,086,793,168",,,,,,,,,,,,,,-6,,,,,,,,,,,,,,"2,146,208,243,675",,,,,,,"88,026,491,480","77,633,961,194",,"183,728,091,518","-7,188,695,384",,"36,620,565,390","-35,733,401","-7,224,428,785",,,,"2,329,936,335,193",,,"101,108,853,841",,"2,192,206,915,962",
[028150],,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,093,581,250",,,"151,608,919","264,416,615",,,,,,,,,"214,793,879,203",,,,,,,,,,,,,,,,,,,,,,,,,"4,461",,,"27,283,953,416",,"4,461",,,,,"170,372,354","10,489,740,884",,"246,887,460,453","7,745,114,376",,,"27,650,464,708","35,395,579,084",,,,"274,171,413,869",,,,,,
[024120],,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,440,260,481",,,"693,256,228","15,399,745",,,,,,,,,"1,639,776,448",,,,,,,,,,,,,,,,,,,,,,,,,246,,,"31,974,431,110",,,,,,,"1,393,569,879","743,307,918",,"5,080,036,929","637,025,382",,,"2,830,829,621","3,467,855,003",,,,"37,054,468,039",,,,,,
[083470],,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,668,868,613",,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,"14,176,720,999",,,,,,,,,,"5,296,065,792",0,,,,"850,061,439",,,,,,,,,,
[036030],,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,332,469,857",,,"257,545,417","458,240,412",,,,,,,,,"2,866,458,113",,,,,,,,,,,,,,,,,,,,,,,,,38,38,,"40,057,635,221",,,,,,,"4,378,123","855,729,743",,"4,198,927,970","618,839,308","-6,988,256",,"1,357,298,918","1,976,138,226","1,357,298,918",,,"44,256,563,191",,,,,,
