,dart_AdvertisingExpenses,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromSaleOfGoods,dart_DepreciationExpense,dart_DividendIncome,dart_Donations,dart_EmployeeBenefits,dart_EntertainmentExpenses,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsOnDisposalsOfOtherNonCurrentAssets,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesOnDisposalsOfInvestments,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherGains,dart_OtherLosses,dart_OtherReversalsOfProvisions,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_SalariesWages,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,dart_WritedownsOfPropertyPlantAndEquipment,entity_BasicEarningsLossPerShare,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherLosses,entity_ProfitLoss,entity_ProfitLossBeforeTax,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_TotalSellingGeneralAdministrativeExpenses,ifrs_AdministrativeExpense,ifrs_BasicEarningsLossPerShare,ifrs_BasicEarningsLossPerShareFromContinuingOperations,ifrs_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs_CostOfSales,ifrs_DilutedEarningsLossPerShare,ifrs_DilutedEarningsLossPerShareFromContinuingOperations,ifrs_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs_EarningsPerShareAbstract,ifrs_EmployeeBenefitsExpense,ifrs_FinanceCosts,ifrs_FinanceIncome,ifrs_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs_GrossProfit,ifrs_IncomeTaxExpenseContinuingOperations,ifrs_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,ifrs_OtherRevenue,ifrs_ProfitLoss,ifrs_ProfitLossBeforeTax,ifrs_ProfitLossFromContinuingOperations,ifrs_ProfitLossFromDiscontinuedOperations,ifrs_RawMaterialsAndConsumablesUsed,ifrs_Revenue,ifrs_RevenueFromConstructionContracts,ifrs_RevenueFromDividends,ifrs_RevenueFromRenderingOfServices,ifrs_RevenueFromRoyalties,ifrs_RevenueFromSaleOfGoods,ifrs_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
[001040],,,,,,,,,,,,,,,,,,,,"2,417,895,000","597,934,000",,,,,,,"11,107,916,000",,,,,,,,,,,,,,,,,,,,,,"314,000",,"97,052,000",,"107,962,000",,,,,,,"1,966,702,000",,,265,,,,264,,,,,"2,417,895,000","704,803,000",,,"-1,845,438,000",,,"7,657,348,000","9,502,786,000",,,,"21,983,043,000",,,,"20,016,341,000",,
[000120],,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,690,985,006",,,"549,862,116","18,483,330,481",,,,,,,,,"78,776,503,313",,,,,,,,,,,,,0,,,,,,,,,,385,,,"1,095,813,442,123",,,,,,"15,256,734,949","6,665,151,971",,"119,467,488,319","4,957,816,867",,,"6,780,594,292","11,738,411,159",,,,"1,215,280,930,442",,,,,,
[037560],,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,085,703,626",,,,,,,,,,,,,,,,,,,,,,,,,"-78,630,749,662",,"386,263,626",,,,,,,,,194,,,"177,558,719,499",194,,,,,,,,"102,716,453,288","4,404,389,746",,,"14,996,507,605","19,400,897,351",,,,"280,275,172,787",,,,,,
[155660],,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,604,729,594",,,"693,534,721","341,450,223",,,,,,,,,"3,720,505,780",,,,,,,,,,,,,,,,,,,,,,,197,,,"32,449,777,289",,,,,,"160,360,836","260,689,358",,"7,325,235,374","909,709,930",,,"3,147,432,684","4,057,142,614",,,,"39,775,012,663",,,,,,
[078930],,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,156,000,000",,,"2,139,000,000",,,,,,,,,,,,,,,,,,,"106,000,000",,,,"10,236,000,000",,,,,,,,,,,93,,,,,,,,"7,606,000,000","-56,000,000",,,"2,794,000,000",,,"8,839,000,000","11,633,000,000",,,,,,,,,,
[006360],,,,,,,"128,328,484,272","2,088,465,064,584",,,,,,,,,,,,,,,,,,,,"128,464,426,026",,"45,593,742,197","37,244,491,101","138,066,522,123",,,,,,,,,"80,192,088,618",,,,,,,,,,,,,298,,,,,,,,,,,,,"2,262,387,291,053",,,,,,"40,138,045,237","41,636,062,067",,"208,656,514,644","7,081,149,231",,"37,798,874,022","22,059,262,603","29,140,411,834",,,,"2,471,043,805,697",,,"158,398,221,190",,"2,274,846,710,485",
[028150],,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,306,071,727",,,"66,782,901","621,578,176",,,,,,,,,"210,004,464,356",,,,,,,,,,,,,0,,,,,,,,,,"3,646",,,"21,649,511,015","3,646",,,,,"68,715,297","3,482,142,689",,"237,310,536,083","7,654,228,661",,,"22,510,475,183","30,164,703,844",,,,"258,960,047,098",,,,,,
[024120],,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,946,658,085",,,"240,886,229","37,328,097",,,,,,,,,"1,381,549,145",,,,,,,,,,,,,,,,,,,,,,,309,,,"35,688,688,848",,,,,,"811,228,259","704,201,219",,"5,328,207,230","492,958,373",,,"3,550,230,804","4,043,189,177",,,,"41,016,896,078",,,,,,
[083470],,,,,,,,,,,,,,,,,,,,,,,,,,,,"597,629,456",,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,"13,929,629,212",,,,,,,,,"4,250,238,462","204,265,863",,,,"975,113,835",,,,,,,,,,
[036030],,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,098,520,158",,,"67,891,727","2,007,354,030",,,,,,,,,"2,037,704,838",,,,,,,,,,,,,,,,,,,,,,,-27,-27,,"43,853,260,375",,,,,,"11,296,409","339,175,927",,"3,136,224,996","442,561,141","-6,685,779",,"-962,309,547","-519,748,406","-962,309,547",,,"46,989,485,371",,,,,,
