,dart_AdvertisingExpenses,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromDividends,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromSaleOfGoods,dart_DepreciationExpense,dart_DividendIncome,dart_Donations,dart_EmployeeBenefits,dart_EntertainmentExpenses,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsFromGovernmentGrants,dart_GainsOnDisposalsOfInvestments,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LossArisingFromDifferenceBetweenCarryingAmountOfFinancialLiabilityExtinguishedAndConsiderationPaid,dart_LossOnDispositionOfReceivables,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesOnDisposalsOfInvestments,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherGains,dart_OtherLosses,dart_OtherReversalsOfProvisions,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_SalariesWages,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,dart_WritedownsOfInventories,dart_WritedownsOfPropertyPlantAndEquipment,entity_BasicEarningsLossPerShare,entity_BasicEarningsLossPerShareFromContinuingOperations,entity_BasicEarningsLossPerShareFromDiscontinuedOperations,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_DilutedEarningsLossPerShareFromContinuingOperations,entity_DilutedEarningsLossPerShareFromDiscontinuedOperations,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingIncomeLoss,entity_OtherGains,entity_OtherLosses,entity_ProfitLoss,entity_ProfitLossAttributableToNoncontrollingInterests,entity_ProfitLossAttributableToOwnersOfParent,entity_ProfitLossBeforeTax,entity_ProfitLossFromContinuingOperations,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,entity_TotalSellingGeneralAdministrativeExpenses,ifrs_AdministrativeExpense,ifrs_BasicEarningsLossPerShare,ifrs_BasicEarningsLossPerShareFromContinuingOperations,ifrs_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs_CostOfSales,ifrs_DilutedEarningsLossPerShare,ifrs_DilutedEarningsLossPerShareFromContinuingOperations,ifrs_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs_EarningsPerShareAbstract,ifrs_EmployeeBenefitsExpense,ifrs_FinanceCosts,ifrs_FinanceIncome,ifrs_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs_GrossProfit,ifrs_IncomeTaxExpenseContinuingOperations,ifrs_OtherRevenue,ifrs_ProfitLoss,ifrs_ProfitLossAttributableToAbstract,ifrs_ProfitLossAttributableToNoncontrollingInterests,ifrs_ProfitLossAttributableToOwnersOfParent,ifrs_ProfitLossBeforeTax,ifrs_ProfitLossFromContinuingOperations,ifrs_ProfitLossFromDiscontinuedOperations,ifrs_RawMaterialsAndConsumablesUsed,ifrs_Revenue,ifrs_RevenueFromConstructionContracts,ifrs_RevenueFromDividends,ifrs_RevenueFromRenderingOfServices,ifrs_RevenueFromSaleOfGoods,ifrs_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
[001040],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"328,814,916,000",,,"41,834,338,000","88,240,068,000",,,,,,,,,"1,503,872,072,000",,,,,,,,,,,,,,"2,381,000",,,,,,,,,,,,,,"19,635,467,000",,,,"2,338",,,"4,046,122,177,000","2,331",,,,,"116,819,246,000","52,194,416,000",,"1,832,686,988,000","80,165,773,000","328,614,521,000","186,962,108,000",,"120,365,715,000","66,596,393,000","267,127,881,000","186,962,108,000",,,"5,878,809,165,000","94,434,649,000",,"2,123,550,262,000","3,312,574,266,000","49,343,525,000"
[000120],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"59,664,263,455",,,"3,667,174,290","20,368,847,478",,,,,,,,,"110,810,302,928",,,,,,,,,,,,,,,,,,"8,298,828,756",,,,,,,,,0,,,,,"1,433","1,433",0,"1,343,082,536,855",,,,,,"23,253,482,300","9,114,932,140",,"170,474,566,383","8,675,811,451",,"28,447,057,412",,"3,199,658,908","25,247,398,504","37,122,868,863","28,447,057,412",,,"1,513,557,103,238",,,,,
[155660],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,617,723,729",,,"663,559,628","341,603,012",,,,,,,,,"5,082,745,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,,,"42,946,919,934",,,,,,"182,674,966","260,849,600",,"8,700,468,732","933,651,279",,,,"-8,251,889","3,092,455,589","4,017,854,979",,,,"51,647,388,666",,,,,
[078930],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"501,624,000,000",,,"45,281,000,000","33,462,000,000",,,,,,,,,"354,972,000,000",,,,,,,,,,,,,,"3,136,000,000",,,,"2,061,000,000",,,,,,,,,,,,,,"3,123",,,"2,468,500,000,000",,,,,,"61,521,000,000","9,848,000,000",,"856,596,000,000","177,357,000,000",,"286,474,000,000",,"26,130,000,000","260,344,000,000","461,770,000,000",,,,"3,325,096,000,000",,,,,
[006360],,,,,,,,"130,187,905,517","2,392,186,098,807",,,,,,,,,,,,,,,,,,,,,,,"22,654,904,305",,"68,611,539,458","40,495,689,037","29,967,078,475",,,,,,,,,"92,749,531,198",,,,,,,,,,,,,,,,,,87,,,,"1,268,041,430",,,,,,,,,,,,,"2,590,985,543,782",,,,,,"49,918,630,656","27,461,466,462",,"115,404,435,503","4,008,198,590","60,765,601,824","7,744,333,398",,,,"11,752,531,988",,,,"2,706,389,979,285",,,"162,233,580,410","2,483,390,797,051","1,026,181,315"
[001250],,,,,,,,"12,843,607,837",,,,,,,,,,,,,,,,,,,,,,,,"11,213,685,953",,,"27,585,494,986","29,025,143,017",,,,,,,,,,,,,,,,,,,"62,893,247,623",,,,,,,,"-111,449,456",,,,,,,,,,"91,064,418,745",,,"18,085,847,394",223,,,"584,146,565,805",,,,,,"5,582,185,760","753,678,983",,"34,089,615,301","145,877,335",,"5,957,945,613",,,,"6,103,822,948",,,,"618,236,181,106",,,"14,727,333,743",,
[028150],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,355,079,434",,,"91,422,622","642,034,449",,,,,,,,,"206,775,224,069",,,,,,,,,,,,,,"3,347",,,,,,,,,,,,,,,"1,040,797,701",,,,,,"33,705,821,669",,,,,,"52,939,300","3,513,162,144",,"233,130,303,503","7,603,055,309",,"20,584,383,968",,"-79,687,548","20,664,071,516","28,187,439,277",,,,"266,836,125,172",,,,,"-1,077,251,174"
[024120],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,558,124,516",,,"178,831,784","59,150,975",,,,,,,,,"2,040,440,753",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,,,"35,849,295,645",,,,,,"1,355,152,256","367,270,346",,"5,598,565,269","355,310,554",,"2,334,612,861",,,"2,334,612,861","2,689,923,415",,,,"41,447,860,914",,,,,
[083470],,,,,,,,,,,,,,,,,,,,,,,"76,078,604",,,,,,,,,"-434,952,261",,,,,,,,,,,,,"3,229,948,807",,,,,,,,,,,,,,,,"709,032,150",,-39,,,,,,,,,,,,,,,,,"27,728,706,288",,,,,,,"2,137,779,681",,"4,357,692,694","208,909,644",,,,,,"-550,280,299",,,,,,,,,
[003550],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"410,258,000,000",,,,,,,,,,,,,"99,607,000,000",,,,,,,,,,,,,,"2,012,000,000",,,,,"10,653,000,000",,,,,,,,,"303,755,000,000",,,,,,,"1,963,456,000,000",,,,,,,,,"509,865,000,000","50,571,000,000","103,132,000,000","354,816,000,000",,"957,000,000","353,859,000,000","404,922,000,000","354,351,000,000","465,000,000",,"2,473,321,000,000","486,799,000,000",,"498,615,000,000","1,081,020,000,000",
