,dart_AdvertisingExpenses,dart_AllowanceForOtherDoubtfulAccounts,dart_AmortisationExpense,dart_BadDebtExpenses,dart_Commissions,dart_CommunicationExpenses,dart_ConferenceExpenses,dart_CostOfSalesFromConstruction,dart_CostOfSalesFromConstructionContracts,dart_CostOfSalesFromRenderingOfServices,dart_CostOfSalesFromRenderingOfServicesCommission,dart_CostOfSalesFromRenderingOfServicesProcession,dart_CostOfSalesFromRenderingOfServicesRental,dart_CostOfSalesFromRenderingOfServicesTransportation,dart_CostOfSalesFromSaleOfGoods,dart_CostOfSalesFromSaleOfGoodsMerchandises,dart_CostOfSalesFromSaleOfGoodsProduct,dart_CostOfSalesFromSaleOfGoodsRealEstate,dart_CostOfSalesFromServices,dart_DepreciationExpense,dart_DividendIncome,dart_DividendIncomeNonOperating,dart_Donations,dart_EmployeeBenefits,dart_EngagementExpenses,dart_EntertainmentExpenses,dart_ExclusiveLineUseExpense,dart_ExportOverallExpense,dart_FreightExpenses,dart_GainOnForeignExchangeTranslations,dart_GainsForeignCurrencyTransactions,dart_GainsFromCommission,dart_GainsFromFinancialGuaranteeFinancialIncome,dart_GainsOnDisposalsOfFairValueFinancialAssetFinancialIncome,dart_GainsOnDisposalsOfInventory,dart_GainsOnDisposalsOfInvestmentProperty,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,dart_GainsOnForeignCurrencyTransactionsFiancialIncome,dart_GainsOnForeignExchangeTranslationsFinancialIncome,dart_GainsOnTransactionOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfDerivativeFinancialInstrumentsFinancialIncome,dart_GainsOnValuationOfFairValueFinancialAssetFinancialIncome,dart_GainsOnValuationOfLongTermFinancialInstruments,dart_ImpairmentLossRecoveryOfAccountsReceivables,dart_InsurancePremiums,dart_InterestExpenseFinanceExpense,dart_InterestIncomeFinanceIncome,dart_LeaseholdAdministrationExpense,dart_LentIncome,dart_LossOnForeignExchangeTranslations,dart_LossesForeignCurrencyTransactions,dart_LossesFromFinancialGuaranteeFinanceExpense,dart_LossesOnDisposalOfIntangibleAssets,dart_LossesOnDisposalOfInvestmentProperty,dart_LossesOnDisposalsOfFairValueFinancialAssetFinancialExpense,dart_LossesOnDisposalsOfPropertyPlantAndEquipment,dart_LossesOnForeignCurrencyTransactionsFiancialExpense,dart_LossesOnForeignExchangeTranslationsFinancialExpense,dart_LossesOnTransactionOfDerivativeFinancialInstrumentsFinancialExpense,dart_LossesOnValuationOfFairValueFinancialAssetFinancialExpense,dart_MembershipExpenses,dart_MiscellaneousExpenses,dart_MiscellaneousIncome,dart_MiscellaneousLosses,dart_NetworkContactSettleExpense,dart_OperatingExpenses,dart_OperatingIncomeLoss,dart_OrdinaryDevelopmentExpense,dart_OtherCostOfSales,dart_OtherFinancialExpenses,dart_OtherFinancialIncome,dart_OtherGains,dart_OtherLosses,dart_PackingExpenses,dart_PersonalExpense,dart_ProvisionForSeveranceIndemnities,dart_PublicationExpenses,dart_RentalExpenses,dart_RepairExpenses,dart_RevenueFromConstruction,dart_RevenueFromRenderingOfServicesCommission,dart_RevenueFromRenderingOfServicesProcession,dart_RevenueFromRenderingOfServicesRental,dart_RevenueFromRenderingOfServicesTransportation,dart_RevenueFromSaleOfGoodsMerchandise,dart_RevenueFromSaleOfGoodsProduct,dart_RevenueFromSaleOfGoodsRealEstate,dart_RevenueFromServices,dart_ReversalsOfAllowanceForOtherDoubtfulAccounts,dart_SalariesWages,dart_SamplesExpenses,dart_SupplyExpenses,dart_TaxesDues,dart_TotalSellingGeneralAdministrativeExpenses,dart_TrainingExpenses,dart_TravelExpenses,dart_UtilityExpenses,dart_VehicleMaintenanceExpenses,entity_BasicEarningsLossPerShare,entity_BasicEarningsLossPerShareFromContinuingOperations,entity_CostOfSales,entity_DilutedEarningsLossPerShare,entity_DilutedEarningsLossPerShareFromContinuingOperations,entity_EarningsPerShareAbstract,entity_FinanceCosts,entity_FinanceIncome,entity_GrossProfit,entity_IncomeStatementAbstract,entity_OperatingExpenses,entity_OperatingIncomeLoss,entity_OtherGains,entity_ProfitLoss,entity_ProfitLossFromDiscontinuedOperations,entity_Revenue,entity_RevenueFromRenderingOfServices,entity_TotalSellingGeneralAdministrativeExpenses,ifrs-full_BasicEarningsLossPerShare,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_CostOfSales,ifrs-full_DilutedEarningsLossPerShare,ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations,ifrs-full_EarningsPerShareAbstract,ifrs-full_EmployeeBenefitsExpense,ifrs-full_FinanceCosts,ifrs-full_FinanceIncome,ifrs-full_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs-full_GrossProfit,ifrs-full_IncomeTaxExpenseContinuingOperations,ifrs-full_LossesArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,ifrs-full_OtherRevenue,ifrs-full_ProfitLoss,ifrs-full_ProfitLossBeforeTax,ifrs-full_ProfitLossFromContinuingOperations,ifrs-full_ProfitLossFromDiscontinuedOperations,ifrs-full_Revenue,ifrs-full_RevenueFromConstructionContracts,ifrs-full_RevenueFromDividends,ifrs-full_RevenueFromRenderingOfServices,ifrs-full_RevenueFromRoyalties,ifrs-full_RevenueFromSaleOfGoods,ifrs-full_SharebasedPaymentTransactions
[001040],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"54,054,372,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"15,694,064,000",,,,,,,,,,,,,,"69,748,436,000",,,,,,,,,"1,312",,,,"1,312",,,,,"11,459,381,000","1,047,495,000","30,378,000",,"-345,859,000",,,,"44,018,723,000","43,672,864,000",,,,,,,,,
[000120],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46,450,689,051",,,,,"3,127,465,540","16,481,257,454",,,,,,,,,,,,,,,,,,,,,"98,642,028,312",,,,,,,,,,,,,,,,,,,,,,,546,,,"1,489,392,293,102",,,,,,"26,320,165,835","11,286,984,057",,"145,092,717,363","3,639,017,701",,,,"14,424,697,658","18,063,715,359",,,"1,634,485,010,465",,,,,,
[000990],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64,702,578,503",,,,,"6,625,633,239","3,745,749,131",,,,,,,,,,,,,,,,,,,,,"27,477,092,571",,,,,,,,,,,,,,,,,,,,,,,"1,265",,,"133,623,375,136","1,265",,,,,"5,788,871,837","3,830,998,274",,"92,179,671,074","10,680,009,105",,,,"54,944,579,943","65,624,589,048","54,944,579,943",0,"225,803,046,210",,,,,,
[000210],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"182,618,405,943",,,,,"3,705,173,749","5,581,037,822",,,,,,,,,,,,,,,,,,,,,"26,133,359,238",,,,,,,,,,"3,580",,,,"138,177,431,696",,,,,,,,,"4,402",,,"228,981,898,489","3,580",,,,,"5,717,774,197","15,159,911,099",,"208,751,765,181","20,231,464,784",,,,"308,130,645,684","190,184,678,772",,,"437,733,663,670",,,,,,
[001880],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69,852,035,246",,,,,"1,282,616,666","2,123,310,290",,,,,,,,,,,,,,,,,,,,,"7,855,968,954",,,,,,,,,,,,,,,,,,,,,,,"3,537",,,"346,994,159,292",0,,,,,"144,175,854","1,665,678,236",,"77,708,004,200","16,850,627,928",,,,"53,682,216,076","70,532,844,004",,,"424,702,163,492",,,,,,
[375500],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[155660],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,547,704,497",,,,,"1,706,910,595","1,267,786,986",,,,,,,,,,,,,,,,,,,,,"2,647,850,812",,,,,,,,,,,,,,,,,,,,,,,199,,,"36,367,506,556",,,,,,"160,370,973","351,478,150",,"6,195,555,309","990,478,945",,,,"3,187,456,338","4,177,935,283",,,"42,563,061,865",,,,,,
[078930],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"191,796,000,000",,,,,"3,000,000","71,000,000",,,,,,,,,,,,,,,,,,,,,"15,832,000,000",,,,,,,,,,,,,,,,,,,,,,,"1,930",,,,"1,943",,,,,"3,990,000,000","50,000,000",,"207,628,000,000","5,016,000,000",,,,"182,772,000,000","187,788,000,000",,,"207,628,000,000",,,,,,
[006360],,,,,,,,"1,804,694,391,481",,,,,,,,,,"34,870,059,501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"173,172,894,965",,"31,701,371,981",,,"165,288,870,258","144,352,312,630",,,,,,,"2,076,254,969,805",,,,,,,"37,061,214,987",,,,,,,"101,143,790,317",,,,,,,,,,,,,,,,,,,,,,,"1,711",,,"1,871,265,822,963","1,622",,,,,"72,301,300,267","60,700,707,319",,"274,316,685,282","46,449,915,438",,,"32,266,323,453","136,058,944,207","182,508,859,645",,,"2,145,582,508,245",,,,,,
[001250],,,,,,,,,,,"8,677,931,682",,,,,"671,347,177,567",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,313,367,092",,,,,"51,033,002,534","53,778,200,608",,,,,,,,"13,053,337,807",,,,"698,349,504,001",,,,,,,,,"16,064,365,467",,,,,,,,,,,,,,,,,,,,,,,96,,,"680,025,109,249",,,,,,"2,831,660,717","855,233,282",,"31,377,732,559","2,711,149,358",,,,"7,880,592,225","10,591,741,583",,,"711,402,841,808",,,,,,
[028150],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,851,416,518",,,,,"100,588,874","1,706,938,883",,,,,,,,,,,,,,,,,,,,,"181,422,067,230",,,,,,,,,,,,,,,,,,,,,,,"5,330",,,"84,502,785,644","5,330",,,,,"633,797,317","11,983,235,074",,"213,273,483,748","9,794,112,872",,,,"31,800,391,394","41,594,504,266",,,"297,776,269,392",,,,,,
