code,score_1,score_2,score_3,score_4,score_5
60310,72.58814194,84.5731507,4.472552164,99.10832258,73.7769036
95570,99.44181235,94.9483179,23.27858878,84.5921687,61.5045581
6840,34.96328375,37.35122412,51.03104628,42.3357466,96.71086629
54620,33.37785049,3.422216164,95.20759763,60.18008028,83.58685847
265520,62.19631838,37.77947765,80.30804647,67.78787127,65.08420953
211270,17.97883414,86.61252644,96.94947312,79.59032894,49.40118373
27410,59.8585199,58.07071653,41.87946373,32.46525153,28.15669932
282330,92.41304813,4.409405709,33.94930114,54.68682877,81.39053903
138930,63.28538433,37.60896784,12.88606912,68.56612447,59.61339753
1460,61.91864795,59.27957768,55.92645212,26.71597598,44.57096871
1465,83.39361145,58.7324826,13.03255025,5.533301997,91.7440845
13720,56.10970318,57.96084134,14.41093622,86.31795658,44.70512345
1040,73.84306296,25.86906156,50.56703973,52.34303236,28.39503294
79160,56.98876177,51.2934543,21.4269984,99.84715884,26.80483953
35760,68.02507962,45.73862696,87.47624233,68.12947565,50.03349027
00104K,40.06316574,17.73510393,93.96542866,57.75003376,33.01559524
120,93.3894825,55.85790511,93.74748817,3.307760918,47.36524259
11150,73.30031043,1.575158355,47.84126017,99.75168876,37.97028097
11155,29.3050107,45.76844394,41.39117032,53.38039462,11.82870564
1045,22.61329527,2.44235652,10.07200566,40.21511309,35.19633696
97950,35.74625973,3.21081619,93.29558258,30.09872798,7.133828069
97955,21.87243287,10.06126641,28.03738714,47.80600709,59.18760839
51500,33.76303408,37.69139449,54.78140768,79.2569209,4.226361681
58820,76.4598662,26.01852024,66.48094251,32.00495633,87.06998701
23460,17.73825918,59.74874916,39.04519429,85.89877169,17.14462619
56730,45.19727524,29.42855481,79.05369244,43.24482703,60.92197841
56000,38.79004744,47.20045356,90.94785115,92.13855169,97.41154422
65770,1.63650956,8.28183322,17.29193672,24.4404636,2.458857355
83660,53.14891357,74.02358993,89.15163237,96.32804053,92.68452596
590,34.81860391,73.46268284,31.72898153,86.7892446,66.05295032
12030,27.17902635,63.63074016,42.64251034,97.34870381,6.406589158
367340,95.59035773,49.86038431,38.49264304,2.47299328,7.961388888
367360,55.32324265,24.21090244,93.40232498,36.03606293,0.90186243
16610,94.57897456,24.8953306,92.53932109,30.57058331,88.91848854
5830,48.91551822,24.80423429,97.1786428,1.53306547,88.29515644
990,16.81503084,91.02837734,47.36399764,94.89164438,61.2565509
995,35.60479041,11.4648681,25.99172651,90.13686328,93.67763936
139130,12.80613432,1.637605468,54.00963538,33.27432574,93.85795404
1530,69.98724537,64.60570899,26.69699698,18.31177207,4.365281502
210,66.92890271,7.617758497,3.278465552,61.45068546,1.195029977
1880,77.41765961,48.5369513,8.783667624,97.90781637,22.47399387
215,24.16759835,6.962486491,50.63411719,2.937815428,18.79905881
375500,6.250166274,54.30210172,76.40120419,32.42904289,93.77784327
37550K,48.75584763,61.91284901,39.16747188,60.80022535,54.89194381
68790,67.88177339,34.67640594,93.67954262,28.73858663,43.98394935
4840,61.78916011,23.33247133,26.87150344,40.92390568,32.75416249
241520,27.86390404,44.31079686,75.62878987,18.116062,32.43591072
155660,16.20912589,81.77942715,10.27272972,87.06254202,26.94837221
69730,40.82186154,41.58716725,60.02314661,58.92014879,28.64430731
