code,h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,l_0,l_1,l_2,l_3,l_4,l_5,l_6,l_7,l_8,l_9
60310,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33637K,33637L,154040,248070,35610,357780,265520
95570,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33638K,33638L,154040,248070,35610,357780,265520
6840,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33639K,33639L,154040,248070,35610,357780,265520
54620,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33640K,33640L,154040,248070,35610,357780,265520
265520,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33641K,33641L,154040,248070,35610,357780,265520
211270,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33642K,33642L,154040,248070,35610,357780,265520
27410,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33643K,33643L,154040,248070,35610,357780,265520
282330,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33644K,33644L,154040,248070,35610,357780,265520
138930,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33645K,33645L,154040,248070,35610,357780,265520
1460,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33646K,33646L,154040,248070,35610,357780,265520
1465,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33647K,33647L,154040,248070,35610,357780,265520
13720,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33648K,33648L,154040,248070,35610,357780,265520
1040,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33649K,33649L,154040,248070,35610,357780,265520
79160,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33650K,33650L,154040,248070,35610,357780,265520
