id,code,name,market
1,60310,3S,KOSDAQ
2,95570,AJ네트웍스,KOSPI
3,6840,AK홀딩스,KOSPI
4,54620,APS홀딩스,KOSDAQ
5,265520,AP시스템,KOSDAQ
6,211270,AP위성,KOSDAQ
7,27410,BGF,KOSPI
8,282330,BGF리테일,KOSPI
9,138930,BNK금융지주,KOSPI
10,1460,BYC,KOSPI
11,1465,BYC우,KOSPI
12,13720,CBI,KOSDAQ
13,1040,CJ,KOSPI
14,79160,CJ CGV,KOSPI
15,35760,CJ ENM,KOSDAQ
16,00104K,CJ4우(전환),KOSPI
17,120,CJ대한통운,KOSPI
18,11150,CJ씨푸드,KOSPI
19,11155,CJ씨푸드1우,KOSPI
20,1045,CJ우,KOSPI
21,97950,CJ제일제당,KOSPI
22,97955,CJ제일제당 우,KOSPI
23,51500,CJ프레시웨이,KOSDAQ
24,58820,CMG제약,KOSDAQ
25,23460,CNH,KOSDAQ
26,56730,CNT85,KOSDAQ
27,56000,COWON,KOSDAQ
28,65770,CS,KOSDAQ
29,83660,CSA 코스믹,KOSDAQ
30,590,CS홀딩스,KOSPI
31,12030,DB,KOSPI
32,367340,DB금융스팩8호,KOSDAQ
33,367360,DB금융스팩9호,KOSDAQ
34,16610,DB금융투자,KOSPI
35,5830,DB손해보험,KOSPI
36,990,DB하이텍,KOSPI
37,995,DB하이텍1우,KOSPI
38,139130,DGB금융지주,KOSPI
39,1530,DI동일,KOSPI
40,210,DL,KOSPI
41,1880,DL건설,KOSPI
42,215,DL우,KOSPI
43,375500,DL이앤씨,KOSPI
44,37550K,DL이앤씨우,KOSPI
45,68790,DMS,KOSDAQ
46,4840,DRB동일,KOSPI
47,241520,DSC인베스트먼트,KOSDAQ
48,155660,DSR,KOSPI
49,69730,DSR제강,KOSPI
50,17940,E1,KOSPI
51,245620,EDGC,KOSDAQ
52,37370,EG,KOSDAQ
53,278990,EMB,KONEX
54,79190,EMW,KOSDAQ
55,365550,ESR켄달스퀘어리츠,KOSPI
56,50120,ES큐브,KOSDAQ
57,383220,F&F,KOSPI
58,7700,F&F홀딩스,KOSPI
59,214270,FSN,KOSDAQ
60,130500,GH신소재,KOSDAQ
61,114090,GKL,KOSPI
62,900290,GRT,KOSDAQ
63,78930,GS,KOSPI
64,83450,GST,KOSDAQ
65,6360,GS건설,KOSPI
66,1250,GS글로벌,KOSPI
67,7070,GS리테일,KOSPI
68,78935,GS우,KOSPI
69,45890,GV,KOSDAQ
70,297890,HB솔루션,KOSDAQ
71,78150,HB테크놀러지,KOSDAQ
72,12630,HDC,KOSPI
73,39570,HDC아이콘트롤스,KOSPI
74,89470,HDC현대EP,KOSPI
75,294870,HDC현대산업개발,KOSPI
76,195940,HK이노엔,KOSDAQ
77,11200,HMM,KOSPI
78,36640,HRS,KOSDAQ
79,82740,HSD엔진,KOSPI
80,335870,IBKS제12호스팩,KOSDAQ
81,351340,IBKS제13호스팩,KOSDAQ
82,351320,IBKS제14호스팩,KOSDAQ
83,373200,IBKS제15호스팩,KOSDAQ
84,388790,IBKS제16호스팩,KOSDAQ
85,3560,IHQ,KOSPI
86,95340,ISC,KOSDAQ
87,99520,ITX-AI,KOSDAQ
88,175330,JB금융지주,KOSPI
89,950170,JTC,KOSDAQ
90,234080,JW생명과학,KOSPI
91,67290,JW신약,KOSDAQ
92,1060,JW중외제약,KOSPI
93,1067,JW중외제약2우B,KOSPI
94,1065,JW중외제약우,KOSPI
95,96760,JW홀딩스,KOSPI
96,35900,JYP Ent.,KOSDAQ
97,24840,KBI메탈,KOSDAQ
98,105560,KB금융,KOSPI
99,24120,KB오토시스,KOSDAQ
100,2380,KCC,KOSPI
101,21320,KCC건설,KOSDAQ
102,344820,KCC글라스,KOSPI
103,36670,KCI,KOSDAQ
104,9070,KCTC,KOSPI
105,9440,KC그린홀딩스,KOSPI
106,112190,KC산업,KONEX
107,119650,KC코트렐,KOSPI
108,44180,KD,KOSDAQ
109,92220,KEC,KOSPI
110,151860,KG ETS,KOSDAQ
111,16380,KG동부제철,KOSPI
112,16385,KG동부제철우,KOSPI
113,46440,KG모빌리언스,KOSDAQ
114,35600,KG이니시스,KOSDAQ
115,1390,KG케미칼,KOSPI
116,226360,KH E&T,KOSDAQ
117,111870,KH 일렉트론,KOSDAQ
118,33180,KH 필룩스,KOSPI
119,60720,KH바텍,KOSDAQ
120,1940,KISCO홀딩스,KOSPI
121,122450,KMH,KOSDAQ
122,52900,KMH하이텍,KOSDAQ
123,58400,KNN,KOSDAQ
124,114450,KPX생명과학,KOSDAQ
125,25000,KPX케미칼,KOSPI
126,92230,KPX홀딩스,KOSPI
127,40,KR모터스,KOSPI
128,44450,KSS해운,KOSPI
129,30200,KT,KOSPI
130,33780,KT&G,KOSPI
131,30210,KTB투자증권,KOSPI
132,58850,KTcs,KOSPI
133,58860,KTis,KOSPI
134,60370,KT서브마린,KOSDAQ
135,93050,LF,KOSPI
136,3550,LG,KOSPI
137,34220,LG디스플레이,KOSPI
138,51900,LG생활건강,KOSPI
139,51905,LG생활건강우,KOSPI
140,3555,LG우,KOSPI
141,32640,LG유플러스,KOSPI
142,11070,LG이노텍,KOSPI
143,66570,LG전자,KOSPI
144,66575,LG전자우,KOSPI
145,37560,LG헬로비전,KOSPI
146,51910,LG화학,KOSPI
147,51915,LG화학우,KOSPI
148,79550,LIG넥스원,KOSPI
149,6260,LS,KOSPI
150,10120,LS ELECTRIC,KOSPI
151,680,LS네트웍스,KOSPI
152,229640,LS전선아시아,KOSPI
153,108320,LX세미콘,KOSDAQ
154,1120,LX인터내셔널,KOSPI
155,108670,LX하우시스,KOSPI
156,108675,LX하우시스우,KOSPI
157,383800,LX홀딩스,KOSPI
158,38380K,LX홀딩스1우,KOSPI
159,23150,MH에탄올,KOSPI
160,35420,NAVER,KOSPI
161,160550,NEW,KOSDAQ
162,53290,NE능률,KOSDAQ
163,181710,NHN,KOSPI
164,104200,NHN벅스,KOSDAQ
165,60250,NHN한국사이버결제,KOSDAQ
166,5940,NH투자증권,KOSPI
167,5945,NH투자증권우,KOSPI
168,338100,NH프라임리츠,KOSPI
169,34310,NICE,KOSPI
170,30190,NICE평가정보,KOSDAQ
171,8260,NI스틸,KOSPI
172,4250,NPC,KOSPI
173,4255,NPC우,KOSPI
174,10060,OCI,KOSPI
175,78590,OQP,KOSDAQ
176,178920,PI첨단소재,KOSPI
177,24940,PN풍년,KOSDAQ
178,5490,POSCO,KOSPI
179,218410,RFHIC,KOSDAQ
180,327260,RF머트리얼즈,KOSDAQ
181,91340,S&K폴리텍,KOSDAQ
182,10950,S-Oil,KOSPI
183,10955,S-Oil우,KOSPI
184,19550,SBI인베스트먼트,KOSDAQ
185,950110,SBI핀테크솔루션즈,KOSDAQ
186,34120,SBS,KOSPI
187,101060,SBS미디어홀딩스,KOSPI
188,46140,SBS콘텐츠허브,KOSDAQ
189,36120,SCI평가정보,KOSDAQ
190,99220,SDN,KOSDAQ
191,36540,SFA반도체,KOSDAQ
192,255220,SG,KOSDAQ
193,40610,SG&G,KOSDAQ
194,49470,SGA,KOSDAQ
195,184230,SGA솔루션즈,KOSDAQ
196,5090,SGC에너지,KOSPI
197,16250,SGC이테크건설,KOSDAQ
198,1380,SG글로벌,KOSPI
199,4060,SG세계물산,KOSPI
200,1770,SHD,KOSPI
201,2360,SH에너지화학,KOSPI
202,9160,SIMPAC,KOSPI
203,123700,SJM,KOSPI
204,25530,SJM홀딩스,KOSPI
205,34730,SK,KOSPI
206,337450,SK5호스팩,KOSDAQ
207,340350,SK6호스팩,KOSDAQ
208,11790,SKC,KOSPI
209,18670,SK가스,KOSPI
210,1740,SK네트웍스,KOSPI
211,1745,SK네트웍스우,KOSPI
212,6120,SK디스커버리,KOSPI
213,6125,SK디스커버리우,KOSPI
214,210980,SK디앤디,KOSPI
215,68400,SK렌터카,KOSPI
216,395400,SK리츠,KOSPI
217,36490,SK머티리얼즈,KOSDAQ
218,302440,SK바이오사이언스,KOSPI
219,326030,SK바이오팜,KOSPI
220,361610,SK아이이테크놀로지,KOSPI
221,03473K,SK우,KOSPI
222,96770,SK이노베이션,KOSPI
223,96775,SK이노베이션우,KOSPI
224,1510,SK증권,KOSPI
225,1515,SK증권우,KOSPI
226,285130,SK케미칼,KOSPI
227,28513K,SK케미칼우,KOSPI
228,17670,SK텔레콤,KOSPI
229,660,SK하이닉스,KOSPI
230,48550,SM C&C,KOSDAQ
231,63440,SM Life Design,KOSDAQ
232,950180,SNK,KOSDAQ
233,64960,SNT모티브,KOSPI
234,100840,SNT에너지,KOSPI
235,3570,SNT중공업,KOSPI
236,36530,SNT홀딩스,KOSPI
237,5610,SPC삼립,KOSPI
238,11810,STX,KOSPI
239,77970,STX엔진,KOSPI
240,71970,STX중공업,KOSPI
241,2820,SUN&L,KOSPI
