일자,시가,고가,저가,종가,거래량
2019-10-08,"2,029.37","2,046.81","2,024.63","2,046.25","437,517,000"
2019-10-10,"2,030.13","2,040.88","2,010.90","2,028.15","445,846,000"
2019-10-11,"2,048.08","2,053.94","2,040.48","2,044.61","381,147,000"
2019-10-14,"2,068.13","2,075.10","2,065.53","2,067.40","511,215,000"
2019-10-15,"2,064.78","2,073.21","2,064.34","2,068.17","464,533,000"
2019-10-16,"2,080.92","2,090.01","2,073.80","2,082.83","524,545,000"
2019-10-17,"2,081.76","2,087.15","2,072.49","2,077.94","314,177,000"
2019-10-18,"2,082.23","2,088.54","2,057.89","2,060.69","516,687,000"
2019-10-21,"2,067.97","2,067.97","2,059.33","2,064.84","606,108,000"
2019-10-22,"2,076.29","2,093.81","2,073.08","2,088.86","504,063,000"
2019-10-23,"2,086.81","2,088.25","2,074.88","2,080.62","429,453,000"
2019-10-24,"2,089.85","2,089.85","2,067.90","2,085.66","367,717,000"
2019-10-25,"2,091.16","2,091.24","2,079.30","2,087.89","348,686,000"
2019-10-28,"2,096.67","2,104.39","2,089.76","2,093.60","269,233,000"
2019-10-29,"2,103.92","2,105.17","2,088.04","2,092.69","357,662,000"
2019-10-30,"2,093.51","2,093.51","2,075.54","2,080.27","415,551,000"
2019-10-31,"2,089.22","2,103.71","2,083.48","2,083.48","461,322,000"
2019-11-01,"2,084.79","2,100.42","2,081.53","2,100.20","418,314,000"
2019-11-04,"2,111.32","2,130.83","2,111.32","2,130.24","476,256,000"
2019-11-05,"2,133.66","2,143.12","2,128.70","2,142.64","400,643,000"
2019-11-06,"2,142.69","2,156.23","2,138.83","2,144.15","410,084,000"
2019-11-07,"2,141.05","2,147.01","2,135.45","2,144.29","425,662,000"
2019-11-08,"2,154.18","2,155.94","2,133.75","2,137.23","574,127,000"
2019-11-11,"2,139.07","2,139.07","2,119.07","2,124.09","617,265,000"
2019-11-12,"2,131.26","2,140.94","2,121.80","2,140.92","610,428,000"
2019-11-13,"2,132.48","2,133.37","2,118.67","2,122.45","664,365,000"
2019-11-14,"2,127.54","2,139.23","2,121.32","2,139.23","521,109,000"
2019-11-15,"2,137.96","2,165.02","2,135.26","2,162.18","556,246,000"
2019-11-18,"2,161.89","2,165.89","2,151.97","2,160.69","489,233,000"
2019-11-19,"2,151.04","2,154.41","2,137.01","2,153.24","826,885,000"
2019-11-20,"2,140.06","2,145.97","2,123.80","2,125.32","581,056,000"
2019-11-21,"2,123.65","2,125.36","2,088.19","2,096.60","579,554,000"
2019-11-22,"2,098.89","2,106.42","2,093.99","2,101.96","519,852,000"
2019-11-25,"2,117.14","2,130.04","2,116.07","2,123.50","397,676,000"
2019-11-26,"2,129.27","2,139.64","2,120.85","2,121.35","532,600,000"
2019-11-27,"2,134.47","2,136.30","2,118.07","2,127.85","367,796,000"
2019-11-28,"2,116.93","2,127.75","2,116.58","2,118.60","335,227,000"
2019-11-29,"2,125.53","2,125.53","2,085.10","2,087.96","433,260,000"
2019-12-02,"2,097.55","2,103.87","2,088.92","2,091.92","385,343,000"
2019-12-03,"2,075.02","2,085.71","2,066.60","2,084.07","450,039,000"
2019-12-04,"2,070.84","2,072.91","2,057.45","2,068.89","347,002,000"
2019-12-05,"2,078.31","2,084.29","2,053.56","2,060.74","472,188,000"
2019-12-06,"2,072.44","2,084.44","2,070.17","2,081.85","440,188,000"
2019-12-09,"2,091.94","2,093.81","2,084.31","2,088.65","393,126,000"
2019-12-10,"2,081.22","2,100.48","2,080.16","2,098.00","500,064,000"
2019-12-11,"2,098.28","2,109.22","2,092.48","2,105.62","668,731,000"
2019-12-12,"2,120.13","2,138.93","2,120.13","2,137.35","584,636,000"
2019-12-13,"2,164.63","2,170.25","2,159.45","2,170.25","540,027,000"
2019-12-16,"2,168.05","2,175.01","2,166.29","2,168.15","377,053,000"
2019-12-17,"2,179.40","2,196.01","2,171.09","2,195.68","599,534,000"
2019-12-18,"2,194.92","2,204.04","2,187.32","2,194.76","591,106,000"
2019-12-19,"2,199.42","2,204.73","2,186.59","2,196.56","643,143,000"
2019-12-20,"2,205.57","2,206.82","2,194.80","2,204.18","646,682,000"
2019-12-23,"2,208.22","2,209.20","2,196.43","2,203.71","502,034,000"
2019-12-24,"2,206.23","2,206.23","2,187.58","2,190.08","569,967,000"
2019-12-26,"2,192.22","2,198.01","2,183.90","2,197.93","571,309,000"
2019-12-27,"2,183.70","2,215.55","2,177.40","2,204.21","490,167,000"
2019-12-30,"2,202.62","2,208.04","2,195.65","2,197.67","416,403,000"
2020-01-02,"2,201.21","2,202.32","2,171.84","2,175.17","494,677,000"
2020-01-03,"2,192.58","2,203.38","2,165.39","2,176.46","631,562,000"
2020-01-06,"2,154.97","2,164.42","2,149.95","2,155.07","592,670,000"
2020-01-07,"2,166.60","2,181.62","2,164.27","2,175.54","568,235,000"
2020-01-08,"2,156.27","2,162.32","2,137.72","2,151.31","913,830,000"
2020-01-09,"2,182.20","2,186.45","2,172.16","2,186.45","592,603,000"
2020-01-10,"2,189.48","2,206.92","2,188.10","2,206.39","594,536,000"
2020-01-13,"2,204.49","2,230.43","2,204.49","2,229.26","488,288,000"
2020-01-14,"2,243.06","2,250.79","2,232.94","2,238.88","835,899,000"
2020-01-15,"2,229.80","2,238.21","2,223.39","2,230.98","746,156,000"
2020-01-16,"2,231.93","2,249.09","2,225.41","2,248.05","808,331,000"
2020-01-17,"2,261.57","2,268.71","2,245.58","2,250.57","580,816,000"
2020-01-20,"2,261.40","2,277.23","2,258.09","2,262.64","545,491,000"
2020-01-21,"2,259.81","2,266.31","2,238.25","2,239.69","770,319,000"
2020-01-22,"2,238.53","2,269.27","2,235.13","2,267.25","608,509,000"
2020-01-23,"2,254.54","2,260.63","2,241.94","2,246.13","509,608,000"
2020-01-28,"2,192.22","2,199.93","2,166.23","2,176.72","808,878,000"
2020-01-29,"2,188.18","2,195.45","2,172.33","2,185.28","692,300,000"
2020-01-30,"2,181.54","2,187.45","2,139.72","2,148.00","602,838,000"
2020-01-31,"2,160.60","2,167.23","2,119.01","2,119.01","710,507,000"
2020-02-03,"2,086.61","2,126.73","2,082.74","2,118.88","836,699,000"
2020-02-04,"2,121.22","2,162.32","2,120.53","2,157.90","624,641,000"
2020-02-05,"2,177.26","2,181.52","2,154.88","2,165.63","574,395,000"
2020-02-06,"2,184.77","2,229.99","2,182.25","2,227.94","695,216,000"
2020-02-07,"2,221.49","2,223.92","2,198.14","2,211.95","800,342,000"
2020-02-10,"2,185.63","2,203.39","2,180.51","2,201.07","609,566,000"
2020-02-11,"2,213.50","2,233.32","2,211.25","2,223.12","526,211,000"
2020-02-12,"2,225.95","2,242.24","2,214.77","2,238.38","632,462,000"
